customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Devin BookerPHO,16.1,0.664,0.11,0.158,0.224,0.171,0.336,21,0.123
Brandon Boston Jr.LAC,14.7,0.658,0.258,0.126,0.123,0.151,0.342,15,0.207
Chris BoucherTOR,12.1,0.603,0.43,0.113,0.026,0.035,0.397,67,0.275
James BouknightCHO,12,0.652,0.333,0.241,0.043,0.035,0.348,4,0.224
Avery BradleyLAL,18.1,0.4,0.137,0.091,0.083,0.089,0.6,1,0.538
Tony BradleyCHI,3.9,1,0.626,0.252,0.065,0.057,0,13,
Ignas BrazdeikisORL,14,0.537,0.293,0.202,0.027,0.016,0.463,0,0.333
Mikal BridgesPHO,13.3,0.636,0.227,0.205,0.159,0.045,0.364,54,0.561
Miles BridgesCHO,12.4,0.617,0.357,0.212,0.02,0.029,0.383,118,0.275
Oshae BrissettIND,13.9,0.532,0.326,0.152,0.024,0.03,0.468,32,0.329
Malcolm BrogdonIND,13.2,0.657,0.285,0.192,0.103,0.077,0.343,4,0.167
Armoni BrooksTOT,23.4,0.138,0.083,0.035,0.01,0.01,0.862,3,0.137
Armoni BrooksHOU,23.2,0.151,0.092,0.036,0.012,0.012,0.849,3,0.131
Armoni BrooksTOR,24.7,0.053,0.026,0.026,0,0,0.947,0,0.167
Dillon BrooksMEM,13.3,0.717,0.196,0.249,0.186,0.086,0.283,12,0.161
Bruce BrownBRK,8.4,0.814,0.393,0.302,0.103,0.016,0.186,34,0.649
Charlie Brown Jr.TOT,11,0.692,0.385,0.205,0.077,0.026,0.308,2,0.167
Charlie Brown Jr.DAL,17.2,0.4,0.2,0,0.2,0,0.6,1,0.333
Charlie Brown Jr.PHI,10,0.735,0.412,0.235,0.059,0.029,0.265,1,0.111
Chaundee Brown Jr.TOT,17.9,0.438,0.188,0.094,0.156,0,0.563,0,0.222
Chaundee Brown Jr.LAL,13.2,0.571,0.286,0.143,0.143,0,0.429,0,0.333
Chaundee Brown Jr.ATL,19.2,0.4,0.16,0.08,0.16,0,0.6,0,0.2
Greg Brown IIIPOR,10.7,0.679,0.447,0.158,0.016,0.058,0.321,41,0.377
Jaylen BrownBOS,14.5,0.619,0.2,0.234,0.094,0.091,0.381,31,0.185
Moses BrownTOT,2.5,1,0.75,0.231,0.009,0.009,0,40,
Moses BrownDAL,2.3,1,0.78,0.2,0.02,0,0,19,
Moses BrownCLE,2.6,1,0.724,0.259,0,0.017,0,21,
Sterling BrownDAL,17.1,0.406,0.206,0.116,0.039,0.045,0.594,0,0.5
Troy Brown Jr.CHI,15,0.484,0.283,0.132,0.027,0.043,0.516,5,0.594
Jalen BrunsonDAL,13.1,0.75,0.147,0.288,0.189,0.126,0.25,5,0.298
Thomas BryantWAS,11.5,0.716,0.385,0.169,0.034,0.128,0.284,30,0.167
