Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P_per100,3PA,3P%,2P_per100,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,ID,customID
20,D.J. Augustin,PG,33,TOT,57,12,1129,5.6,14.3,0.394,3.5,9.1,0.382,2.2,5.3,0.413,3.5,3.9,0.904,0.8,3.1,3.9,7.8,1.2,0,2.7,2.3,18.3,117,117,augusdj01,D.J. AugustinTOT
20,D.J. Augustin,PG,33,MIL,37,6,713,4.7,12.6,0.37,3.2,8.5,0.38,1.4,4.1,0.349,2.4,2.6,0.9,0.7,2.6,3.3,7.2,1.3,0.1,2.2,2.2,15,115,116,augusdj01,D.J. AugustinMIL
20,D.J. Augustin,PG,33,HOU,20,6,416,7.3,17.2,0.424,3.9,10,0.386,3.4,7.2,0.476,5.6,6.1,0.907,1,4,5,8.9,0.9,0,3.5,2.6,24,118,119,augusdj01,D.J. AugustinHOU
21,Deni Avdija,SF,20,WAS,54,32,1257,4.8,11.4,0.417,1.9,6.2,0.315,2.8,5.3,0.535,1.1,1.7,0.644,0.8,8.8,9.6,2.3,1.2,0.6,1.2,5.1,12.5,103,113,avdijde01,Deni AvdijaWAS
22,Deandre Ayton,C,22,PHO,69,69,2115,10,16,0.626,0.1,0.5,0.2,9.9,15.6,0.639,3.1,4,0.769,5.3,11.6,17,2.3,1,1.9,2.4,4.6,23.3,127,109,aytonde01,Deandre AytonPHO
23,Udoka Azubuike,C,21,UTA,15,0,57,3.4,7.7,0.444,0,0,,3.4,7.7,0.444,6.8,8.5,0.8,3.4,7.7,11.1,0,0.9,3.4,2.6,7.7,13.7,113,106,azubuud01,Udoka AzubuikeUTA
24,Dwayne Bacon,SG,25,ORL,72,50,1853,7.7,19.1,0.402,1.5,5.4,0.285,6.1,13.6,0.449,3.8,4.6,0.824,0.8,5.1,5.9,2.4,1.2,0.1,1.2,2.7,20.7,102,117,bacondw01,Dwayne BaconORL
25,Marvin Bagley III,PF,21,SAC,43,42,1112,10.7,21.2,0.504,1.6,4.7,0.343,9.1,16.5,0.55,3.3,5.8,0.575,4.6,9.2,13.7,1.9,0.9,0.9,2.5,4.3,26.2,109,117,baglema01,Marvin Bagley IIISAC
26,LaMelo Ball,PG,19,CHO,51,31,1469,9.7,22.3,0.436,3.1,8.7,0.352,6.7,13.7,0.489,4.2,5.5,0.758,2.1,7.9,10,10.4,2.7,0.6,4.8,4.5,26.7,108,110,ballla01,LaMelo BallCHO
27,Lonzo Ball,PG,23,NOP,55,55,1747,8,19.2,0.414,4.7,12.5,0.378,3.2,6.7,0.482,1.4,1.8,0.781,0.9,6.3,7.2,8.7,2.3,0.9,3.4,2.8,22,110,113,balllo01,Lonzo BallNOP
28,Mo Bamba,C,22,ORL,46,5,725,9.5,20.2,0.472,2.6,7.9,0.322,7,12.3,0.568,3,4.4,0.682,5.1,12.7,17.8,2.3,0.9,3.9,2.4,5.8,24.6,111,109,bambamo01,Mo BambaORL
29,Desmond Bane,SG,22,MEM,68,17,1519,7.4,15.7,0.469,3.7,8.5,0.432,3.7,7.2,0.513,1.3,1.5,0.816,1,5.6,6.6,3.7,1.3,0.5,1.9,3.9,19.7,115,114,banede01,Desmond BaneMEM
30,Harrison Barnes,PF,28,SAC,58,58,2102,7.3,14.7,0.497,2.3,5.8,0.391,5,8.8,0.567,4.5,5.4,0.83,1.5,7.3,8.8,4.6,1,0.3,2.1,1.7,21.3,123,119,barneha02,Harrison BarnesSAC
31,RJ Barrett,SG,20,NYK,72,72,2511,9.3,21.1,0.441,2.5,6.2,0.401,6.8,15,0.457,4.1,5.5,0.746,1.4,6.9,8.2,4.3,1.1,0.4,2.8,3.7,25.2,106,110,barrerj01,RJ BarrettNYK
32,Will Barton,SF,30,DEN,56,52,1736,7.4,17.3,0.426,2.8,7.3,0.381,4.6,10,0.459,2.7,3.4,0.785,1.1,5.3,6.4,5.2,1.4,0.7,2.7,2.7,20.2,107,114,bartowi01,Will BartonDEN
33,Keita Bates-Diop,SF,25,SAS,30,0,245,5.9,13.3,0.448,1,3.4,0.294,5,9.9,0.5,2.8,4.2,0.667,1.8,7.9,9.7,2.4,2.2,1,1.4,2.2,15.6,106,111,bateske01,Keita Bates-DiopSAS
34,Nicolas Batum,SF,32,LAC,67,38,1835,5.2,11.1,0.464,3,7.3,0.404,2.2,3.8,0.579,1.3,1.6,0.828,1.3,7.2,8.5,4,1.9,1,1.4,2.8,14.6,124,110,batumni01,Nicolas BatumLAC
35,Aron Baynes,C,34,TOR,53,31,980,6.6,15,0.441,1.3,5.1,0.262,5.3,9.9,0.532,1.4,2,0.707,4.3,9.2,13.5,2.3,0.8,1.1,2.3,5.9,16,104,113,baynear01,Aron BaynesTOR
36,Kent Bazemore,SF,31,GSW,67,18,1333,6.2,13.8,0.449,2.6,6.5,0.408,3.6,7.3,0.486,1.9,2.7,0.692,0.9,7.2,8.1,3.8,2.4,1.2,2.9,5.6,16.9,101,108,bazemke01,Kent BazemoreGSW
37,Darius Bazley,PF,20,OKC,55,55,1714,7.6,19.1,0.396,2.3,7.9,0.29,5.3,11.2,0.47,3.5,4.9,0.702,1.4,9.6,11,2.7,0.8,0.7,3.4,1.7,20.9,93,114,bazleda01,Darius BazleyOKC
38,Bradley Beal,SG,27,WAS,60,60,2147,14.4,29.7,0.485,2.8,8,0.349,11.6,21.7,0.535,8.8,9.9,0.889,1.5,4.5,6.1,5.7,1.5,0.5,4,3,40.3,114,115,bealbr01,Bradley BealWAS
39,Malik Beasley,SG,24,MIN,37,36,1214,10.3,23.3,0.44,5,12.5,0.399,5.3,10.9,0.487,2.6,3.1,0.85,1.1,5.2,6.3,3.4,1.2,0.3,2.3,2.4,28.2,109,118,beaslma01,Malik BeasleyMIN
40,Jordan Bell,C,26,TOT,6,1,82,3.9,12.4,0.318,0,1.1,0,3.9,11.3,0.35,0.6,1.1,0.5,3.9,9.6,13.5,3.9,1.7,2.8,2.3,3.9,8.5,83,108,belljo01,Jordan BellTOT
40,Jordan Bell,C,26,WAS,5,1,67,4.8,13.8,0.35,0,1.4,0,4.8,12.4,0.389,0,0,,4.1,8.9,13.1,3.4,2.1,2.1,2.1,3.4,9.6,86,109,belljo01,Jordan BellWAS
40,Jordan Bell,C,26,GSW,1,0,15,0,6.3,0,0,0,,0,6.3,0,3.1,6.3,0.5,3.1,12.5,15.7,6.3,0,6.3,3.1,6.3,3.1,70,104,belljo01,Jordan BellGSW
41,DeAndre' Bembry,SF,26,TOR,51,12,972,5.8,11.4,0.513,0.7,2.6,0.264,5.1,8.7,0.589,2.2,3.3,0.682,1.6,5.6,7.3,5.3,2.6,0.9,3.5,4.3,14.6,104,111,bembrde01,DeAndre' BembryTOR
42,D?vis Bert?ns,PF,28,WAS,57,7,1464,6.1,15.1,0.404,5.3,13.5,0.395,0.8,1.6,0.48,3.1,3.6,0.87,0.6,4.7,5.3,1.5,1,0.4,1,4.3,20.6,120,116,bertada01,D?vis Bert?nsWAS
43,Patrick Beverley,PG,32,LAC,37,34,832,5.5,13.1,0.423,3.3,8.4,0.397,2.2,4.7,0.468,2.1,2.7,0.8,1.7,5.4,7.1,4.5,1.7,1.7,2,6.4,16.5,118,110,beverpa01,Patrick BeverleyLAC
44,Saddiq Bey,SF,21,DET,70,53,1909,7.2,17.8,0.404,4.5,11.8,0.38,2.7,5.9,0.45,3.2,3.8,0.844,1.1,7.1,8.2,2.4,1.3,0.4,1.5,2.8,22,112,114,beysa01,Saddiq BeyDET
45,Tyler Bey,SF,22,DAL,18,0,71,4.9,15.3,0.318,0.7,2.8,0.25,4.2,12.5,0.333,2.1,3.5,0.6,5.6,7.6,13.2,2.1,0,0.7,2.1,4.2,12.5,91,116,beyty01,Tyler BeyDAL
46,Khem Birch,C,28,TOT,67,22,1529,6,12.1,0.497,0.4,1.7,0.25,5.6,10.4,0.537,2.9,4.1,0.705,5.5,6.8,12.3,2.8,1.5,1.6,1.4,3.6,15.3,121,113,birchkh01,Khem BirchTOT
46,Khem Birch,C,28,ORL,48,5,952,4.8,10.7,0.45,0.2,1.1,0.19,4.6,9.6,0.479,3.2,4.3,0.741,6,6.4,12.4,2.7,1.6,1.4,1.2,3.4,13,120,114,birchkh01,Khem BirchORL
46,Khem Birch,C,28,TOR,19,17,577,8,14.3,0.556,0.8,2.6,0.29,7.2,11.7,0.614,2.3,3.7,0.636,4.8,7.3,12.1,3,1.3,1.8,1.8,3.9,19,123,112,birchkh01,Khem BirchTOR
47,Goga Bitadze,C,21,IND,45,3,561,7,16.3,0.428,1.7,6.7,0.253,5.3,9.7,0.548,3.8,5.1,0.738,5.1,7.6,12.6,3.1,0.8,5.1,1.4,7.9,19.5,116,109,bitadgo01,Goga BitadzeIND
48,Bismack Biyombo,C,28,CHO,66,36,1349,5.1,8.8,0.587,0,0,0,5.1,8.7,0.589,1.7,3.8,0.448,5,7.6,12.6,2.9,0.6,2.7,2.6,5.1,12,113,113,biyombi01,Bismack BiyomboCHO
49,Nemanja Bjelica,PF,32,TOT,37,3,595,7.2,16,0.454,2.2,6.9,0.318,5,9,0.559,3,4.2,0.725,2.4,8,10.3,5.6,1.2,0.4,2.7,5.5,19.7,111,116,bjeline01,Nemanja BjelicaTOT
49,Nemanja Bjelica,PF,32,SAC,26,1,439,7.5,16.4,0.46,1.9,6.3,0.293,5.7,10.1,0.565,3.5,4.6,0.762,2.6,8.3,10.9,5.4,0.9,0.2,3.1,5.2,20.4,110,119,bjeline01,Nemanja BjelicaSAC
49,Nemanja Bjelica,PF,32,MIA,11,2,156,6.4,14.6,0.435,3.2,8.6,0.37,3.2,6.1,0.526,1.6,2.9,0.556,1.6,7,8.6,6.4,2.2,1,1.6,6.4,17.5,116,110,bjeline01,Nemanja BjelicaMIA
50,Eric Bledsoe,SG,31,NOP,71,70,2111,7,16.6,0.421,2.7,8.1,0.341,4.2,8.5,0.496,3,4.4,0.687,0.7,4.9,5.5,6.1,1.2,0.5,2.6,2.5,19.7,108,116,bledser01,Eric BledsoeNOP
51,Keljin Blevins,SF,25,POR,17,0,75,3.3,13,0.25,1.3,5.2,0.25,2,7.8,0.25,0,0,,2,4.6,6.5,2.6,1.3,0,3.3,5.2,7.8,66,119,blevike01,Keljin BlevinsPOR
52,Bogdan Bogdanovi?,SG,28,ATL,44,27,1305,10.1,21.3,0.473,5.5,12.6,0.438,4.6,8.7,0.522,1.5,1.7,0.909,0.8,5.3,6,5.5,1.8,0.5,2,3.7,27.1,122,114,bogdabo01,Bogdan Bogdanovi?ATL
53,Bojan Bogdanovi?,SF,31,UTA,72,72,2216,8.9,20.3,0.439,4,10.1,0.39,5,10.2,0.487,5.1,5.8,0.879,0.9,5.3,6.2,3,1,0.1,2.8,2.5,26.9,113,112,bogdabo02,Bojan Bogdanovi?UTA
54,Bol Bol,PF,21,DEN,32,2,160,7.7,17.9,0.431,2.8,7.4,0.375,4.9,10.5,0.471,3.1,4.6,0.667,0,7.4,7.4,2.2,0.9,3.1,4,4.3,21.3,92,111,bolbo01,Bol BolDEN
55,Marques Bolden,C,22,CLE,6,0,29,1.7,5.1,0.333,0,0,,1.7,5.1,0.333,8.5,13.6,0.625,5.1,5.1,10.2,0,3.4,3.4,3.4,0,11.9,101,108,boldema01,Marques BoldenCLE
56,Jordan Bone,PG,23,ORL,14,0,196,5.7,13.4,0.426,2.5,7.9,0.313,3.2,5.5,0.591,0,0,,1,5,6,4.5,0.5,0,0.7,2.7,13.9,113,119,bonejo01,Jordan BoneORL
57,Isaac Bonga,SF,21,WAS,40,8,432,3.2,8.6,0.37,1.4,5,0.277,1.8,3.6,0.5,0.5,0.9,0.625,1.9,5.1,7,2.5,1.2,1,2.3,6.7,8.3,90,114,bongais01,Isaac BongaWAS
58,Devin Booker,SG,24,PHO,67,67,2270,13.5,28,0.484,2.7,8.1,0.34,10.8,19.9,0.543,7.4,8.5,0.867,0.7,5.4,6.1,6.3,1.2,0.3,4.5,3.9,37.2,110,114,bookede01,Devin BookerPHO
59,Chris Boucher,C,28,TOR,60,14,1453,9.6,18.7,0.514,3,7.8,0.383,6.6,10.8,0.609,5.1,6.4,0.788,3.9,9.6,13.5,2.1,1.2,3.7,1.5,5.5,27.2,127,109,bouchch01,Chris BoucherTOR
60,Brian Bowen,SF,22,IND,6,0,15,3.2,12.6,0.25,0,3.2,0,3.2,9.5,0.333,3.2,3.2,1,0,9.5,9.5,0,0,0,0,3.2,9.5,74,116,bowenbr02,Brian BowenIND
61,Avery Bradley,SG,30,TOT,27,6,602,5.1,13.7,0.374,2.6,8.1,0.327,2.5,5.6,0.443,1,1.2,0.8,0.6,3.9,4.6,3.7,1.7,0.2,2.2,4.4,13.8,94,116,bradlav01,Avery BradleyTOT
61,Avery Bradley,SG,30,MIA,10,1,211,7.3,15.5,0.47,3.8,8.9,0.421,3.5,6.6,0.536,1.6,2.1,0.778,0.5,3.8,4.2,3.3,1.6,0.2,2.1,6.1,20,110,114,bradlav01,Avery BradleyMIA
61,Avery Bradley,SG,30,HOU,17,5,391,4,12.7,0.314,2.1,7.6,0.27,1.9,5.1,0.381,0.6,0.7,0.833,0.7,4,4.7,3.9,1.7,0.2,2.3,3.5,10.7,84,117,bradlav01,Avery BradleyHOU
62,Tony Bradley,C,23,TOT,42,8,684,9.2,13.8,0.665,0,0.2,0,9.2,13.6,0.675,2.7,3.8,0.691,5.9,10.8,16.7,2.6,1,2.1,2.3,4.3,21,131,109,bradlto01,Tony BradleyTOT
62,Tony Bradley,C,23,PHI,20,8,287,8.6,12.6,0.68,0,0.2,0,8.6,12.4,0.689,1.2,1.8,0.636,6.6,10.9,17.5,2.9,1,2.2,1,4.7,18.3,145,106,bradlto01,Tony BradleyPHI
62,Tony Bradley,C,23,OKC,22,0,397,9.6,14.6,0.656,0,0.2,0,9.6,14.4,0.667,3.7,5.3,0.705,5.5,10.7,16.2,2.4,1.1,2,3.2,4,22.9,123,111,bradlto01,Tony BradleyOKC
63,Jarrell Brantley,PF,24,UTA,28,0,138,8.8,18.4,0.481,4.2,9.9,0.429,4.6,8.5,0.542,0.7,0.7,1,3.2,6.4,9.5,5.3,2.5,0.7,2.8,6,22.6,120,107,brantja01,Jarrell BrantleyUTA
64,Ignas Brazdeikis,SF,22,TOT,13,0,249,6.8,16.2,0.422,2.2,5.5,0.393,4.7,10.8,0.436,2,2.7,0.714,2.2,6.6,8.8,3.3,0.8,0.6,2.3,4.3,17.8,101,116,brazdig01,Ignas BrazdeikisTOT
64,Ignas Brazdeikis,SF,22,NYK,4,0,7,0,7.1,0,0,0,,0,7.1,0,14.3,14.3,1,7.1,7.1,14.3,7.1,0,0,7.1,0,14.3,103,113,brazdig01,Ignas BrazdeikisNYK
64,Ignas Brazdeikis,SF,22,PHI,1,0,8,0,18.1,0,0,6,0,0,12.1,0,0,0,,0,12.1,12.1,0,0,0,0,0,0,0,111,brazdig01,Ignas BrazdeikisPHI
64,Ignas Brazdeikis,SF,22,ORL,8,0,234,7.3,16.4,0.443,2.3,5.6,0.407,5,10.8,0.462,1.7,2.5,0.667,2.1,6.4,8.5,3.3,0.8,0.6,2.3,4.6,18.5,103,117,brazdig01,Ignas BrazdeikisORL
65,Mikal Bridges,SF,24,PHO,72,72,2348,7.6,14.1,0.543,2.8,6.6,0.425,4.8,7.4,0.647,2.3,2.8,0.84,1.6,4.9,6.5,3.2,1.6,1.3,1.2,2.4,20.4,131,112,bridgmi01,Mikal BridgesPHO
66,Miles Bridges,PF,22,CHO,66,19,1932,7.9,15.7,0.503,2.9,7.3,0.4,5,8.4,0.593,2.5,2.9,0.867,2,8,10,3.7,1.1,1.3,2.7,3.6,21.2,116,113,bridgmi02,Miles BridgesCHO
67,Amida Brimah,C,26,IND,5,0,29,8.1,13,0.625,0,0,,8.1,13,0.625,4.9,4.9,1,3.3,9.8,13,1.6,0,8.1,6.5,6.5,21.2,101,106,brimaam01,Amida BrimahIND
68,Oshae Brissett,SF,22,IND,21,16,519,6.6,13.8,0.483,3,7.1,0.423,3.6,6.6,0.548,4.6,5.9,0.769,2.6,7.8,10.5,1.6,1.7,1.8,0.9,2.9,20.9,129,111,brissos01,Oshae BrissettIND
69,Malcolm Brogdon,PG,28,IND,56,56,1930,10.9,24,0.453,3.6,9.2,0.388,7.3,14.8,0.493,3.7,4.3,0.864,1.4,5.8,7.2,8.1,1.2,0.4,2.8,2.7,29,113,115,brogdma01,Malcolm BrogdonIND
70,Armoni Brooks,SG,22,HOU,20,5,520,7.1,17.5,0.406,5.5,14.3,0.382,1.6,3.2,0.514,0.6,1.1,0.583,0.9,5.3,6.2,2.7,1.1,0.5,2,3.1,20.3,105,117,brookar01,Armoni BrooksHOU
71,Dillon Brooks,SF,25,MEM,67,67,1997,10.3,24.7,0.419,3.1,8.9,0.344,7.3,15.8,0.461,3.8,4.7,0.815,1.3,3.4,4.7,3.8,1.9,0.6,2.8,5.7,27.6,102,113,brookdi01,Dillon BrooksMEM
72,Bruce Brown,PG,24,BRK,65,37,1451,7.8,14.1,0.556,0.6,2,0.288,7.2,12.1,0.599,2.9,3.9,0.735,3.7,7.9,11.6,3.5,1.9,0.9,1.8,4.8,19,124,112,brownbr01,Bruce BrownBRK
73,Charlie Brown Jr.,SG,23,OKC,9,1,152,4.1,13.4,0.302,1.6,6.6,0.238,2.5,6.9,0.364,2.8,3.1,0.9,0.9,4.4,5.3,2.8,1.3,0.6,1.9,5.9,12.5,88,116,brownch02,Charlie Brown Jr.OKC
74,Jaylen Brown,SG,24,BOS,58,58,1999,13.1,27.2,0.484,4,10,0.397,9.2,17.1,0.536,4.7,6.1,0.764,1.7,6.7,8.5,4.8,1.8,0.8,3.9,4.1,34.9,112,113,brownja02,Jaylen BrownBOS
75,Moses Brown,C,21,OKC,43,32,920,7.5,13.8,0.545,0,0,,7.5,13.8,0.545,4,6.5,0.619,8,11.8,19.8,0.5,1.6,2.4,2.2,4.8,19.1,117,109,brownmo01,Moses BrownOKC
76,Sterling Brown,SG,25,HOU,51,14,1229,5.8,12.9,0.448,3.5,8.3,0.423,2.3,4.6,0.492,1,1.2,0.806,1.5,7.2,8.6,2.8,1.5,0.5,1.6,3.7,16,114,116,brownst02,Sterling BrownHOU
77,Troy Brown Jr.,SF,21,TOT,34,0,524,5.6,13,0.431,2,6.3,0.314,3.6,6.7,0.541,1.3,1.9,0.714,1.8,7.6,9.4,2.6,0.9,0.5,1.9,4.4,14.5,103,114,browntr01,Troy Brown Jr.TOT
77,Troy Brown Jr.,SF,21,WAS,21,0,287,5.3,14.3,0.371,2.2,7.4,0.304,3.1,6.9,0.442,1.6,2.4,0.667,1.8,8,9.8,3.1,0.5,0.6,2.6,4.7,14.5,93,115,browntr01,Troy Brown Jr.WAS
77,Troy Brown Jr.,SF,21,CHI,13,0,237,5.9,11.2,0.527,1.6,4.9,0.333,4.3,6.3,0.677,1,1.2,0.833,1.8,7.2,9,2,1.4,0.4,1,4.1,14.5,123,113,browntr01,Troy Brown Jr.CHI
78,Jalen Brunson,PG,24,DAL,68,12,1697,9.5,18.2,0.523,2.4,5.8,0.405,7.2,12.4,0.578,3.5,4.4,0.795,0.8,5.9,6.7,6.9,1,0,2.3,3.2,24.9,123,116,brunsja01,Jalen BrunsonDAL
79,Elijah Bryant,SG,25,MIL,1,0,32,8.8,19.1,0.462,1.5,7.3,0.2,7.3,11.7,0.625,4.4,4.4,1,2.9,5.9,8.8,4.4,0,1.5,5.9,5.9,23.5,100,115,bryanel01,Elijah BryantMIL
80,Thomas Bryant,C,23,WAS,10,10,271,10,15.5,0.648,1.5,3.6,0.429,8.5,11.9,0.714,2.7,4.1,0.667,3.1,7.3,10.4,2.6,0.7,1.4,1.9,5.3,24.3,132,114,bryanth01,Thomas BryantWAS
81,Reggie Bullock,SF,29,NYK,65,64,1949,6.4,14.4,0.442,4.2,10.2,0.41,2.2,4.2,0.521,1.3,1.4,0.909,0.4,5.3,5.7,2.5,1.3,0.3,1.2,3.7,18.2,118,111,bullore01,Reggie BullockNYK
82,Trey Burke,PG,28,DAL,62,1,911,8.2,19.1,0.428,3.1,8.9,0.354,5,10.2,0.492,2.8,3.1,0.895,0.5,2.4,2.9,4.4,1.9,0.4,1.8,3.5,22.3,110,115,burketr01,Trey BurkeDAL
83,Alec Burks,SG,29,NYK,49,5,1255,8.4,19.9,0.42,4.1,9.8,0.415,4.3,10.1,0.425,4,4.7,0.856,0.8,8.2,9,4.3,1.2,0.6,2,4.1,24.8,114,109,burksal01,Alec BurksNYK
84,Jimmy Butler,SF,31,MIA,52,52,1745,10.4,21,0.497,0.7,2.9,0.245,9.7,18,0.538,10.2,11.8,0.863,2.7,7.5,10.2,10.5,3.1,0.5,3.1,2,31.8,127,108,butleji01,Jimmy ButlerMIA
85,Bruno Caboclo,PF,25,HOU,6,0,36,10.5,22.3,0.471,0,6.6,0,10.5,15.8,0.667,1.3,2.6,0.5,3.9,14.5,18.4,1.3,0,2.6,5.3,7.9,22.3,83,112,cabocbr01,Bruno CabocloHOU
86,Devontae Cacok,PF,24,LAL,20,1,98,8.4,14.4,0.586,0,0,,8.4,14.4,0.586,2.5,5.5,0.455,6,9.9,15.9,0.5,2.5,2,2.5,4,19.4,111,102,cacokde01,Devontae CacokLAL
87,Kentavious Caldwell-Pope,SG,27,LAL,67,67,1902,5.6,12.9,0.431,3.1,7.5,0.41,2.5,5.4,0.46,2.5,2.9,0.866,0.7,3.9,4.6,3.2,1.6,0.7,1.7,2.9,16.7,114,109,caldwke01,Kentavious Caldwell-PopeLAL
88,Facundo Campazzo,PG,29,DEN,65,19,1425,4.2,10.9,0.381,2.6,7.5,0.352,1.5,3.4,0.444,2.8,3.2,0.879,0.8,3.9,4.6,8,2.7,0.5,2.5,4.6,13.7,117,112,campafa01,Facundo CampazzoDEN
89,Vlatko ?an?ar,PF,23,DEN,41,1,281,5.8,12.7,0.458,1.6,5.8,0.273,4.2,6.9,0.615,1.8,2.3,0.769,1.9,6.9,8.8,2.5,1.9,0.4,2.5,3.2,15,104,112,cancavl01,Vlatko ?an?arDEN
90,Devin Cannady,PG,24,ORL,8,0,74,7.2,18.4,0.393,3.9,10.5,0.375,3.3,7.9,0.417,3.9,4.6,0.857,0,3.3,3.3,0.7,3.3,0.7,1.3,5.9,22.4,105,113,cannade01,Devin CannadyORL
91,Clint Capela,C,26,ATL,63,63,1898,10.7,18,0.594,0,0,,10.7,18,0.594,3.4,5.9,0.573,7.7,15.7,23.4,1.3,1.1,3.3,1.9,3.8,24.8,125,106,capelca01,Clint CapelaATL
92,Vernon Carey Jr.,C,19,CHO,19,4,115,7.6,15.3,0.5,0.4,3,0.143,7.2,12.3,0.586,3.8,4.7,0.818,2.5,8.9,11.5,0.8,0.4,2.1,2.1,5.5,19.5,108,113,careyve01,Vernon Carey Jr.CHO
93,Jevon Carter,PG,25,PHO,60,1,717,6.5,15.4,0.422,3.9,10.4,0.371,2.6,5,0.528,0.3,0.5,0.571,1.1,5.2,6.3,4.9,2,0.6,1.1,3.9,17.1,115,111,carteje01,Jevon CarterPHO
94,Wendell Carter Jr.,C,21,TOT,54,44,1375,8.1,16.1,0.503,0.5,1.8,0.294,7.6,14.3,0.53,4.6,6.3,0.732,4.7,11,15.6,3.7,1.2,1.5,2.8,5.2,21.4,114,111,cartewe01,Wendell Carter Jr.TOT
94,Wendell Carter Jr.,C,21,CHI,32,25,792,7.9,15.4,0.512,0.5,1.3,0.364,7.4,14.1,0.526,5,6.8,0.739,4.3,11,15.3,4.2,1.1,1.5,3,5.9,21.3,115,110,cartewe01,Wendell Carter Jr.CHI
94,Wendell Carter Jr.,C,21,ORL,22,19,583,8.4,17.1,0.493,0.6,2.4,0.241,7.8,14.7,0.534,4.1,5.7,0.721,5.2,10.9,16.1,2.9,1.4,1.5,2.4,4.2,21.5,112,112,cartewe01,Wendell Carter Jr.ORL
95,Michael Carter-Williams,SG,29,ORL,31,25,800,6.4,16.4,0.389,0.9,3.7,0.246,5.5,12.7,0.431,3,4.9,0.613,2.4,6.1,8.5,7.8,1.5,1,4.2,4.9,16.7,93,115,cartemi01,Michael Carter-WilliamsORL
96,Alex Caruso,PG,26,LAL,58,6,1216,5.3,12.2,0.436,2.2,5.5,0.401,3.1,6.7,0.464,2,3,0.645,1.2,5.6,6.8,6.4,2.6,0.6,3,4.3,14.8,106,106,carusal01,Alex CarusoLAL
97,Willie Cauley-Stein,C,27,DAL,53,16,906,6.3,9.9,0.632,0.1,0.6,0.091,6.2,9.3,0.667,2.7,4.2,0.628,3.6,9.3,12.8,1.9,1.1,2.3,1.6,7,15.2,128,110,caulewi01,Willie Cauley-SteinDAL
98,Chris Chiozza,PG,25,BRK,22,1,232,6.4,18.3,0.352,2.7,8.7,0.31,3.7,9.6,0.391,2.7,3.5,0.765,0.6,4.4,5,13.5,1.5,1.2,3.3,4,18.3,108,115,chiozch01,Chris ChiozzaBRK
99,Marquese Chriss,PF,23,GSW,2,0,27,8.7,24.4,0.357,1.7,8.7,0.2,7,15.7,0.444,3.5,7,0.5,5.2,17.4,22.6,3.5,0,3.5,3.5,5.2,22.6,88,104,chrisma01,Marquese ChrissGSW
100,Gary Clark,SF-PF,26,TOT,39,11,654,3,9.8,0.303,2.3,8,0.287,0.7,1.8,0.375,0.6,0.7,0.8,2.5,6.1,8.6,2.3,1,0.5,1.3,2.6,8.9,97,117,clarkga01,Gary ClarkTOT
100,Gary Clark,SF,26,ORL,35,11,637,3.1,10,0.305,2.4,8.2,0.287,0.7,1.8,0.391,0.6,0.8,0.8,2.5,6,8.6,2.3,0.9,0.5,1.3,2.6,9.1,97,117,clarkga01,Gary ClarkORL
100,Gary Clark,SF,26,DEN,2,0,4,0,0,,0,0,,0,0,,0,0,,0,12.4,12.4,0,0,0,0,0,0,,115,clarkga01,Gary ClarkDEN
100,Gary Clark,PF,26,PHI,2,0,13,0,3.7,0,0,0,,0,3.7,0,0,0,,0,7.4,7.4,3.7,3.7,0,0,3.7,0,57,105,clarkga01,Gary ClarkPHI
101,Brandon Clarke,PF,24,MEM,59,16,1415,8.7,16.7,0.517,0.7,2.6,0.26,8,14.1,0.565,2.6,3.8,0.69,3.3,7.8,11.1,3.2,2,1.7,1.1,2.8,20.6,119,109,clarkbr01,Brandon ClarkeMEM
102,Jordan Clarkson,SG,28,UTA,68,1,1818,12.2,28.8,0.425,5.6,16,0.347,6.7,12.8,0.523,3.5,3.9,0.896,1.3,6.1,7.3,4.5,1.6,0.3,3.1,2.9,33.5,109,110,clarkjo01,Jordan ClarksonUTA
103,Nic Claxton,C,21,BRK,32,1,594,7.3,11.8,0.621,0.1,0.4,0.2,7.2,11.4,0.636,2.5,5.2,0.484,3.5,10,13.5,2.3,1.9,3.2,1.5,5.5,17.2,124,108,claxtni01,Nic ClaxtonBRK
104,Amir Coffey,SG,23,LAC,44,1,394,5.7,12.9,0.437,2.9,7,0.411,2.8,5.9,0.468,3.4,4.8,0.711,1.3,4.3,5.5,2.8,1.3,0,1.9,3.8,17.6,115,114,coffeam01,Amir CoffeyLAC
105,John Collins,PF,23,ATL,63,63,1848,11.4,20.5,0.556,2.2,5.5,0.399,9.2,15,0.615,4.5,5.4,0.833,3.1,9.3,12.4,2.1,0.9,1.7,2.2,5.1,29.6,125,112,collijo01,John CollinsATL
106,Mike Conley,PG,33,UTA,51,51,1498,9.2,20.8,0.444,4.5,10.9,0.412,4.7,9.9,0.479,3.9,4.6,0.852,1.2,4.6,5.8,9.9,2.3,0.3,3.2,3.2,26.9,123,109,conlemi01,Mike ConleyUTA
