Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P_per100,3PA,3P%,2P_per100,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,ID,customID
514,Tremont Waters,PG,23,BOS,26,3,238,7,17.2,0.405,3.1,7.8,0.395,3.9,9.4,0.413,3.3,3.5,0.941,1,3.3,4.3,12.7,3.1,0.2,5.5,3.5,20.3,108,112,watertr01,Tremont WatersBOS
515,Paul Watson,SF,26,TOR,27,2,297,6.2,13.4,0.463,4.9,10.4,0.469,1.3,2.9,0.444,0.8,1.3,0.625,0.7,6.7,7.3,2.8,1,0.5,1.5,5.9,18.1,120,115,watsopa01,Paul WatsonTOR
516,Quinndary Weatherspoon,SG,24,SAS,20,0,121,6.4,14,0.457,0.4,2.4,0.167,6,11.6,0.517,5.2,6.4,0.813,1.2,3.2,4.4,3.2,3.2,0.8,4,7.2,18.4,97,111,weathqu01,Quinndary WeatherspoonSAS
517,Russell Westbrook,PG,32,WAS,65,65,2369,10.6,24.1,0.439,1.7,5.3,0.315,8.9,18.8,0.475,5.3,8,0.656,2.1,12.5,14.6,14.9,1.7,0.4,6.1,3.7,28.1,105,110,westbru01,Russell WestbrookWAS
518,Coby White,PG,20,CHI,69,54,2156,8.4,20.3,0.416,3.7,10.2,0.359,4.8,10.1,0.473,2.9,3.2,0.901,0.6,5.8,6.4,7.4,0.9,0.3,3.5,4,23.4,106,115,whiteco01,Coby WhiteCHI
519,Derrick White,SG,26,SAS,36,32,1064,8.5,20.7,0.411,3.8,11.1,0.346,4.7,9.6,0.486,4.4,5.2,0.851,0.6,4.3,4.9,5.8,1.2,1.6,2.1,4.2,25.2,111,114,whitede01,Derrick WhiteSAS
520,Hassan Whiteside,C,31,SAC,36,4,546,11.1,19.7,0.563,0,0.1,0,11.1,19.6,0.565,3.6,6.9,0.519,5.4,13.5,18.9,1.8,0.8,4,3.5,6.4,25.8,107,111,whiteha01,Hassan WhitesideSAC
521,Greg Whittington,PF,27,DEN,4,0,12,0,12.4,0,0,8.2,0,0,4.1,0,0,0,,0,0,0,0,0,0,0,0,0,0,121,whittgr01,Greg WhittingtonDEN
522,Andrew Wiggins,PF,25,GSW,71,71,2364,10,21,0.477,2.8,7.3,0.38,7.3,13.7,0.529,3.4,4.7,0.714,1.6,5.3,6.9,3.3,1.3,1.4,2.5,3.2,26.2,107,111,wiggian01,Andrew WigginsGSW
523,Grant Williams,PF,22,BOS,63,9,1138,4.6,10.6,0.437,2.1,5.5,0.372,2.6,5.1,0.508,1.3,2.2,0.588,2.1,5.6,7.6,2.7,1.4,1,2.4,6.9,12.6,105,114,willigr01,Grant WilliamsBOS
524,Kenrich Williams,PF,26,OKC,66,13,1426,7.3,13.7,0.533,1.7,3.9,0.444,5.6,9.8,0.568,1.2,2.1,0.571,2.8,6.3,9.1,5.1,1.8,0.6,2.5,4.8,17.5,116,114,willike04,Kenrich WilliamsOKC
525,Lou Williams,PG,34,TOT,66,4,1423,9.2,22.4,0.41,2.4,6,0.399,6.8,16.4,0.414,5.2,6,0.867,0.7,4.1,4.8,7.8,1.6,0.2,3.7,2.2,26,106,114,willilo02,Lou WilliamsTOT
525,Lou Williams,PG,34,LAC,42,3,918,9.8,23.2,0.421,2.4,6.4,0.378,7.3,16.8,0.437,5.6,6.4,0.866,0.8,3.9,4.7,7.8,2.1,0.2,3.6,2.3,27.5,108,112,willilo02,Lou WilliamsLAC
525,Lou Williams,PG,34,ATL,24,1,505,8.2,21,0.389,2.3,5.3,0.444,5.8,15.8,0.37,4.6,5.3,0.87,0.6,4.3,4.9,7.9,0.8,0.2,4.1,1.9,23.3,101,118,willilo02,Lou WilliamsATL
526,Patrick Williams,PF,19,CHI,71,71,1983,6.2,12.9,0.483,1.3,3.4,0.391,4.9,9.5,0.515,2.2,3.1,0.728,1.6,6.4,8,2.4,1.6,1.1,2.4,3.1,16,105,112,willipa01,Patrick WilliamsCHI
527,Robert Williams,C,23,BOS,52,13,985,9.2,12.8,0.721,0,0.1,0,9.2,12.7,0.727,2.2,3.6,0.616,6.6,11.2,17.8,4.7,2.1,4.5,2.6,5.2,20.7,139,104,williro04,Robert WilliamsBOS
528,Zion Williamson,PF,20,NOP,61,61,2026,15,24.5,0.611,0.2,0.8,0.294,14.8,23.7,0.622,8.7,12.5,0.698,4,6.5,10.4,5.3,1.3,0.9,4,3.2,39,124,115,willizi01,Zion WilliamsonNOP
529,D.J. Wilson,PF,24,TOT,35,1,433,7.4,18.3,0.405,3.3,9.5,0.345,4.1,8.8,0.469,1.9,2.7,0.68,2.2,10,12.2,2.5,1.2,1.7,2.4,4.8,20,100,112,wilsodj01,D.J. WilsonTOT
529,D.J. Wilson,PF,24,MIL,12,0,105,7.2,19.2,0.372,4.5,12.5,0.357,2.7,6.7,0.4,0.4,0.9,0.5,1.3,9.8,11.2,1.3,0.4,1.8,1.8,5.8,19.2,97,112,wilsodj01,D.J. WilsonMIL
529,D.J. Wilson,PF,24,HOU,23,1,328,7.5,18,0.416,2.9,8.5,0.339,4.6,9.5,0.485,2.3,3.3,0.696,2.5,10.1,12.6,2.9,1.4,1.7,2.6,4.5,20.2,101,112,wilsodj01,D.J. WilsonHOU
530,Dylan Windler,SF,24,CLE,31,0,513,5.5,12.5,0.438,2.5,7.4,0.338,3,5.1,0.585,2,2.6,0.778,1.9,8.4,10.3,3.2,1.8,1.2,3.1,3.6,15.5,103,113,windldy01,Dylan WindlerCLE
531,Justise Winslow,SF,24,MEM,26,1,507,7,19.8,0.352,0.9,5.1,0.185,6,14.7,0.41,1.9,3.3,0.571,1.7,9.4,11.1,4.7,1.4,1.1,3.5,4.4,16.8,82,110,winslju01,Justise WinslowMEM
532,Cassius Winston,PG,22,WAS,22,0,98,6.6,15.5,0.424,3.8,8,0.471,2.8,7.5,0.375,2.4,2.8,0.833,0,4.2,4.2,5.6,0.9,0.5,2.4,3.8,19.3,111,116,winstca01,Cassius WinstonWAS
533,James Wiseman,C,19,GSW,39,27,836,10.7,20.7,0.519,0.7,2.1,0.316,10.1,18.5,0.542,3,4.8,0.628,3.1,9.6,12.7,1.5,0.6,2,3.4,6.8,25.2,100,109,wisemja01,James WisemanGSW
534,Christian Wood,C,25,HOU,41,41,1326,11.7,22.8,0.514,2.7,7.4,0.374,9,15.5,0.581,4.5,7.1,0.631,2.7,11.4,14.1,2.5,1.2,1.7,2.9,3.1,30.7,111,112,woodch01,Christian WoodHOU
535,Robert Woodard II,SF,21,SAC,13,0,45,8.5,21.3,0.4,1.1,6.4,0.167,7.5,14.9,0.5,3.2,8.5,0.375,4.3,12.8,17.1,2.1,0,3.2,1.1,4.3,21.3,96,114,woodaro01,Robert Woodard IISAC
536,Delon Wright,SG-PG,28,TOT,63,39,1748,6.7,14.4,0.463,1.8,4.8,0.372,4.9,9.6,0.509,2.8,3.5,0.802,1.8,5.7,7.5,7.7,2.8,0.8,2.3,2.1,17.9,118,113,wrighde01,Delon WrightTOT
536,Delon Wright,SG,28,DET,36,31,1052,6.3,13.7,0.464,1.4,4.1,0.348,4.9,9.5,0.515,3.3,4.2,0.789,1.7,5.9,7.6,8.4,2.7,0.9,2.2,2.1,17.4,119,111,wrighde01,Delon WrightDET
536,Delon Wright,PG,28,SAC,27,8,696,7.2,15.5,0.462,2.3,5.7,0.398,4.9,9.8,0.5,2.1,2.5,0.833,1.9,5.3,7.2,6.7,3,0.8,2.4,2.1,18.7,115,115,wrighde01,Delon WrightSAC
537,Thaddeus Young,PF,32,CHI,68,23,1652,10.9,19.4,0.559,0.4,1.3,0.267,10.5,18.1,0.58,2.1,3.3,0.628,4.9,7.5,12.4,8.5,2.2,1.2,4,4.5,24.2,116,110,youngth01,Thaddeus YoungCHI
538,Trae Young,PG,22,ATL,63,63,2125,11.3,25.7,0.438,3.1,9.2,0.343,8.1,16.6,0.491,11.2,12.6,0.886,0.9,4.8,5.7,13.8,1.2,0.3,6,2.6,36.9,117,116,youngtr01,Trae YoungATL
539,Cody Zeller,C,28,CHO,48,21,1005,8.8,15.7,0.559,0.2,1.4,0.143,8.6,14.4,0.598,4.1,5.8,0.714,5.8,10.2,15.9,4.2,1.3,0.8,2.5,5.9,21.9,123,112,zelleco01,Cody ZellerCHO
540,Ivica Zubac,C,23,LAC,72,33,1609,7.9,12.1,0.652,0,0.1,0.25,7.9,12,0.656,4.2,5.3,0.789,5.8,10.2,16,2.8,0.7,1.9,2.5,5.8,20,135,110,zubaciv01,Ivica ZubacLAC
