customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Precious AchiuwaMIA,3.3,0.996,0.667,0.263,0.039,0.026,0.004,48,0
Jaylen AdamsMIL,11,0.75,0.25,0.375,0.125,0,0.25,0,0
Steven AdamsNOP,3.9,0.99,0.646,0.276,0.068,0,0.01,51,0
Bam AdebayoMIA,7.6,0.99,0.353,0.303,0.225,0.11,0.01,137,0.125
LaMarcus AldridgeTOT,15.5,0.73,0.152,0.122,0.152,0.304,0.27,12,0.175
LaMarcus AldridgeSAS,16.6,0.698,0.109,0.129,0.125,0.335,0.302,6,0.16
LaMarcus AldridgeBRK,9.9,0.896,0.375,0.083,0.292,0.146,0.104,6,0.4
Ty-Shon AlexanderPHO,22.3,0.25,0.083,0,0,0.167,0.75,1,0.111
Nickeil Alexander-WalkerNOP,15.5,0.522,0.236,0.164,0.041,0.081,0.478,7,0.283
Grayson AllenMEM,19.2,0.338,0.123,0.126,0.07,0.019,0.662,11,0.172
Jarrett AllenTOT,4.5,0.961,0.6,0.276,0.056,0.029,0.039,127,0.368
Jarrett AllenBRK,2.9,1,0.723,0.185,0.046,0.046,0,17,
Jarrett AllenCLE,4.7,0.954,0.58,0.29,0.058,0.026,0.046,110,0.368
Al-Farouq AminuTOT,13.2,0.626,0.273,0.242,0.03,0.081,0.374,3,0.216
Al-Farouq AminuORL,12.7,0.652,0.281,0.247,0.034,0.09,0.348,3,0.194
Al-Farouq AminuCHI,17.2,0.4,0.2,0.2,0,0,0.6,0,0.333
Kyle AndersonMEM,14.8,0.603,0.158,0.22,0.149,0.076,0.397,7,0.425
Giannis AntetokounmpoMIL,9.5,0.799,0.451,0.193,0.094,0.062,0.201,178,0.045
Kostas AntetokounmpoLAL,4.1,1,0.4,0.6,0,0,0,2,
Thanasis AntetokounmpoMIL,8.4,0.788,0.62,0.139,0.015,0.015,0.212,29,0.31
Carmelo AnthonyPOR,18.1,0.582,0.062,0.08,0.236,0.205,0.418,8,0.197
Cole AnthonyORL,13.3,0.688,0.185,0.292,0.129,0.083,0.312,4,0.093
OG AnunobyTOR,14.8,0.497,0.256,0.173,0.04,0.027,0.503,55,0.467
Ryan ArcidiaconoCHI,18.3,0.427,0.154,0.137,0.085,0.051,0.573,0,0.224
Trevor ArizaMIA,16.1,0.407,0.286,0.095,0.008,0.017,0.593,9,0.413
D.J. AugustinTOT,19,0.367,0.146,0.102,0.073,0.047,0.633,0,0.194
D.J. AugustinMIL,20,0.328,0.109,0.094,0.073,0.052,0.672,0,0.24
D.J. AugustinHOU,17.8,0.417,0.192,0.113,0.073,0.04,0.583,0,0.125
Deni AvdijaWAS,16.6,0.462,0.144,0.237,0.045,0.035,0.538,11,0.274
Deandre AytonPHO,5.5,0.971,0.53,0.259,0.137,0.045,0.029,109,0
Udoka AzubuikeUTA,2.9,1,0.778,0.222,0,0,0,3,
Dwayne BaconORL,12.9,0.715,0.236,0.226,0.143,0.11,0.285,8,0.155
Marvin Bagley IIISAC,8.8,0.78,0.373,0.341,0.041,0.024,0.22,67,0.426
LaMelo BallCHO,13.7,0.612,0.302,0.174,0.095,0.04,0.388,8,0.161
Lonzo BallNOP,19.4,0.35,0.153,0.057,0.063,0.077,0.65,8,0.2
Mo BambaORL,13.6,0.608,0.306,0.166,0.063,0.073,0.392,38,0.102
Desmond BaneMEM,17,0.457,0.176,0.132,0.094,0.054,0.543,5,0.262
Harrison BarnesSAC,12.5,0.601,0.307,0.248,0.044,0.003,0.399,35,0.223
RJ BarrettNYK,11.5,0.708,0.325,0.228,0.087,0.069,0.292,39,0.427
Will BartonDEN,14.5,0.577,0.227,0.211,0.072,0.067,0.423,19,0.183
Keita Bates-DiopSAS,9.7,0.746,0.388,0.284,0.045,0.03,0.254,2,0.529
Nicolas BatumLAC,19.1,0.34,0.177,0.024,0.053,0.085,0.66,18,0.434
Aron BaynesTOR,11.4,0.661,0.385,0.181,0.056,0.039,0.339,31,0.155
Kent BazemoreGSW,15.3,0.531,0.214,0.168,0.061,0.087,0.469,4,0.527
Darius BazleyOKC,13.3,0.586,0.306,0.197,0.039,0.043,0.414,44,0.217
Bradley BealWAS,13.3,0.73,0.177,0.274,0.143,0.136,0.27,24,0.169
Malik BeasleyMIN,16.4,0.465,0.192,0.148,0.075,0.05,0.535,13,0.268
Jordan BellTOT,5.9,0.909,0.545,0.273,0.045,0.045,0.091,1,0.5
Jordan BellWAS,5.8,0.9,0.55,0.3,0,0.05,0.1,1,0.5
Jordan BellGSW,6.7,1,0.5,0,0.5,0,0,0,
DeAndre' BembryTOR,8.9,0.768,0.377,0.342,0.035,0.013,0.232,23,0.226
D?vis Bert?nsWAS,24.8,0.105,0.036,0.04,0.013,0.017,0.895,4,0.143
Patrick BeverleyLAC,18.2,0.359,0.173,0.132,0.032,0.023,0.641,0,0.291
Saddiq BeyDET,19,0.334,0.158,0.097,0.049,0.03,0.666,22,0.228
Tyler BeyDAL,9.6,0.818,0.364,0.227,0.182,0.045,0.182,1,0
Khem BirchTOT,8.3,0.863,0.342,0.342,0.132,0.047,0.137,46,0.654
Khem BirchORL,7.8,0.9,0.349,0.34,0.153,0.057,0.1,21,0.81
Khem BirchTOR,8.9,0.819,0.333,0.345,0.105,0.035,0.181,25,0.548
Goga BitadzeIND,13,0.593,0.34,0.191,0.052,0.01,0.407,17,0.051
Bismack BiyomboCHO,2.8,0.996,0.698,0.256,0.037,0.004,0.004,70,1
Nemanja BjelicaTOT,13.7,0.566,0.311,0.219,0.015,0.02,0.434,0,0.153
Nemanja BjelicaSAC,12.7,0.613,0.327,0.247,0.013,0.027,0.387,0,0.155
Nemanja BjelicaMIA,16.8,0.413,0.261,0.13,0.022,0,0.587,0,0.148
Eric BledsoeNOP,16.5,0.514,0.159,0.167,0.11,0.078,0.486,0,0.22
Keljin BlevinsPOR,12.5,0.6,0.2,0.35,0.05,0,0.4,0,0.125
Bogdan Bogdanovi?ATL,18.7,0.411,0.11,0.108,0.122,0.071,0.589,0,0.216
Bojan Bogdanovi?UTA,15.4,0.502,0.181,0.226,0.079,0.016,0.498,11,0.406
Bol BolDEN,16.1,0.586,0.172,0.172,0.121,0.121,0.414,5,0.125
Marques BoldenCLE,7.7,1,0.333,0.333,0.333,0,0,0,
Jordan BoneORL,20.8,0.407,0.019,0.093,0.019,0.278,0.593,0,0.313
Isaac BongaWAS,16,0.42,0.16,0.235,0.025,0,0.58,1,0.617
Devin BookerPHO,14.5,0.712,0.179,0.163,0.231,0.139,0.288,24,0.086
Chris BoucherTOR,12.8,0.58,0.382,0.154,0.014,0.03,0.42,46,0.14
Brian BowenIND,16.6,0.75,0,0.25,0,0.5,0.25,0,0
Avery BradleyTOT,18.2,0.409,0.158,0.099,0.035,0.117,0.591,0,0.396
Avery BradleyMIA,17.8,0.424,0.136,0.121,0.061,0.106,0.576,0,0.5
Avery BradleyHOU,18.5,0.4,0.171,0.086,0.019,0.124,0.6,0,0.333
Tony BradleyTOT,4.3,0.985,0.569,0.325,0.046,0.046,0.015,20,0.333
Tony BradleyPHI,3.7,0.987,0.613,0.293,0.053,0.027,0.013,6,1
Tony BradleyOKC,4.7,0.984,0.541,0.344,0.041,0.057,0.016,14,0
Jarrell BrantleyUTA,15.5,0.462,0.212,0.212,0.019,0.019,0.538,2,0.536
Ignas BrazdeikisTOT,13.1,0.663,0.289,0.229,0.048,0.096,0.337,0,0.25
Ignas BrazdeikisNYK,14.9,1,0,0,1,0,0,0,
Ignas BrazdeikisPHI,12.4,0.667,0.333,0,0.333,0,0.333,0,1
Ignas BrazdeikisORL,13.1,0.658,0.291,0.241,0.025,0.101,0.342,0,0.222
Mikal BridgesPHO,14.3,0.529,0.278,0.135,0.082,0.034,0.471,38,0.597
Miles BridgesCHO,14,0.534,0.338,0.141,0.019,0.035,0.466,82,0.324
Amida BrimahIND,3,1,0.625,0.375,0,0,0,3,
Oshae BrissettIND,14.9,0.483,0.325,0.126,0.02,0.013,0.517,14,0.295
Malcolm BrogdonIND,14.3,0.618,0.309,0.111,0.081,0.117,0.382,8,0.107
Armoni BrooksHOU,22.1,0.182,0.099,0.057,0.026,0,0.818,3,0.153
Dillon BrooksMEM,15,0.639,0.155,0.167,0.229,0.088,0.361,29,0.159
Bruce BrownBRK,6.4,0.861,0.513,0.286,0.057,0.005,0.139,22,0.746
Charlie Brown Jr.OKC,16.6,0.512,0.116,0.186,0.093,0.116,0.488,1,0.333
Jaylen BrownBOS,14.3,0.63,0.195,0.239,0.11,0.086,0.37,23,0.158
Moses BrownOKC,2.1,1,0.772,0.224,0.004,0,0,78,
Sterling BrownHOU,17.9,0.358,0.206,0.099,0.021,0.033,0.642,6,0.414
Troy Brown Jr.TOT,17.4,0.514,0.174,0.132,0.063,0.146,0.486,2,0.357
Troy Brown Jr.WAS,19,0.483,0.112,0.124,0.09,0.157,0.517,1,0.261
Troy Brown Jr.CHI,14.8,0.564,0.273,0.145,0.018,0.127,0.436,1,0.542
Jalen BrunsonDAL,13.3,0.681,0.214,0.228,0.161,0.078,0.319,0,0.28
Elijah BryantMIL,12.6,0.615,0.385,0.154,0,0.077,0.385,0,0
Thomas BryantWAS,10.3,0.769,0.374,0.231,0.088,0.077,0.231,24,0.048
Reggie BullockNYK,20.8,0.291,0.087,0.052,0.061,0.091,0.709,1,0.317
Trey BurkeDAL,17.1,0.535,0.159,0.096,0.139,0.142,0.465,0,0.293
Alec BurksNYK,16.8,0.508,0.146,0.138,0.128,0.096,0.492,0,0.301
Jimmy ButlerMIA,9.3,0.861,0.327,0.289,0.166,0.079,0.139,39,0.333
Bruno CabocloHOU,9.6,0.706,0.353,0.353,0,0,0.294,4,0.4
Devontae CacokLAL,3.1,1,0.586,0.379,0.034,0,0,7,
Kentavious Caldwell-PopeLAL,17.6,0.421,0.204,0.073,0.042,0.103,0.579,7,0.396
Facundo CampazzoDEN,19.6,0.314,0.105,0.137,0.054,0.019,0.686,0,0.269
