customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Vlatko ?an?arDEN,14.1,0.542,0.319,0.167,0.042,0.014,0.458,4,0.273
Devin CannadyORL,19.3,0.429,0.036,0.107,0.143,0.143,0.571,0,0.313
Clint CapelaATL,2.4,1,0.709,0.269,0.017,0.004,0,168,
Vernon Carey Jr.CHO,10.6,0.806,0.361,0.194,0.083,0.167,0.194,2,0.429
Jevon CarterPHO,21.2,0.323,0.076,0.054,0.072,0.121,0.677,1,0.252
Wendell Carter Jr.TOT,8.2,0.888,0.4,0.256,0.158,0.074,0.112,48,0.196
Wendell Carter Jr.CHI,7.5,0.913,0.409,0.29,0.155,0.06,0.087,23,0.227
Wendell Carter Jr.ORL,9.1,0.859,0.39,0.215,0.161,0.093,0.141,25,0.172
Michael Carter-WilliamsORL,10.3,0.774,0.304,0.307,0.104,0.059,0.226,7,0.197
Alex CarusoLAL,14.8,0.551,0.246,0.144,0.102,0.059,0.449,9,0.409
Willie Cauley-SteinDAL,3.8,0.94,0.791,0.082,0.044,0.022,0.06,53,0.364
Chris ChiozzaBRK,16.4,0.523,0.193,0.159,0.08,0.091,0.477,0,0.024
Marquese ChrissGSW,11,0.643,0.5,0.143,0,0,0.357,0,0.2
Gary ClarkTOT,21.7,0.182,0.061,0.083,0.015,0.023,0.818,2,0.398
Gary ClarkORL,21.7,0.176,0.061,0.084,0.015,0.015,0.824,2,0.398
Gary ClarkDEN,17.2,0.333,0.333,0,0,0,0.667,0,
Gary ClarkPHI,19.4,0.346,0.111,0.136,0.049,0.049,0.654,0,
Brandon ClarkeMEM,7.8,0.813,0.53,0.254,0.015,0.015,0.187,59,0.597
Jordan ClarksonUTA,13.3,0.622,0.3,0.188,0.114,0.02,0.378,11,0.172
Nic ClaxtonBRK,20.1,0.205,0.091,0.102,0.011,0,0.795,41,0.4
Amir CoffeyLAC,5.4,0.951,0.508,0.311,0.116,0.016,0.049,2,0.375
John CollinsATL,16.9,0.464,0.099,0.272,0.075,0.018,0.536,99,0.255
Mike ConleyUTA,2.5,1,0.697,0.284,0.019,0,0,0,0.179
Pat ConnaughtonMIL,16.8,0.455,0.165,0.167,0.077,0.045,0.545,9,0.221
Quinn CookTOT,11,0.727,0.334,0.211,0.127,0.054,0.273,0,0.308
Quinn CookLAL,11,0.735,0.29,0.316,0.065,0.065,0.265,0,0.308
Quinn CookCLE,16.1,0.571,0.286,0,0,0.286,0.429,0,0.308
Tyler CookTOT,17.1,0.477,0.075,0.268,0.109,0.025,0.523,40,1
Tyler CookBRK,20.2,0.254,0.161,0.065,0.022,0.006,0.746,0,
Tyler CookDET,2.2,1,0.684,0.316,0,0,0,40,1
DeMarcus CousinsTOT,11.6,0.571,0.5,0.071,0,0,0.429,13,0.067
DeMarcus CousinsHOU,15.9,0.467,0.333,0.067,0,0.067,0.533,8,0.069
DeMarcus CousinsLAC,12.1,0.623,0.361,0.225,0.015,0.022,0.377,5,0.053
Robert CovingtonPOR,12.2,0.593,0.39,0.186,0.008,0.008,0.407,10,0.126
Torrey CraigTOT,12,0.641,0.345,0.248,0.019,0.029,0.359,14,0.321
Torrey CraigMIL,18.8,0.319,0.171,0.108,0.022,0.018,0.681,4,0.273
Torrey CraigPHO,18.9,0.315,0.164,0.11,0.021,0.021,0.685,10,0.333
Jae CrowderPHO,18.7,0.327,0.185,0.105,0.025,0.012,0.673,2,0.255
Jarrett CulverMIN,16,0.469,0.231,0.141,0.057,0.041,0.531,15,0.283
Seth CurryPHI,15.2,0.509,0.26,0.135,0.057,0.057,0.491,0,0.157
Stephen CurryGSW,17.2,0.4,0.181,0.15,0.056,0.013,0.6,0,0.072
Nate DarlingCHO,20.8,0.329,0.059,0.094,0.079,0.097,0.671,0,0.143
Anthony DavisLAL,13.5,0.652,0.259,0.193,0.081,0.119,0.348,54,0.16
Ed DavisMIN,15.8,0.5,0.5,0,0,0,0.5,7,
Terence DavisTOT,13.8,0.648,0.214,0.249,0.113,0.072,0.352,20,0.217
Terence DavisTOR,19.4,0.494,0.053,0.1,0.133,0.208,0.506,8,0.262
Terence DavisSAC,19.1,0.527,0.055,0.11,0.138,0.223,0.473,12,0.179
Gabriel DeckOKC,20.2,0.412,0.047,0.076,0.118,0.171,0.588,1,0.467
Dewayne DedmonMIA,19.8,0.387,0.12,0.134,0.062,0.071,0.613,10,0.2
Matthew DellavedovaCLE,9.6,0.899,0.376,0.193,0.15,0.181,0.101,0,0.16
DeMar DeRozanSAS,2.3,1,0.75,0.25,0,0,0,17,0.324
Mamadi DiakiteMIL,16.3,0.442,0.221,0.157,0.034,0.03,0.558,5,0.25
Hamidou DialloTOT,11.9,0.714,0.357,0.071,0.214,0.071,0.286,28,0.293
Hamidou DialloOKC,8.2,0.838,0.441,0.286,0.069,0.041,0.162,19,0.366
Hamidou DialloDET,,,,,,,,9,0.22
Gorgui DiengTOT,,,,,,,,11,0.171
Gorgui DiengMEM,13,0.907,0.164,0.158,0.297,0.288,0.093,8,0.208
Gorgui DiengSAS,6.8,0.894,0.426,0.34,0.106,0.021,0.106,3,0.091
Spencer DinwiddieBRK,3.1,1,0.375,0.625,0,0,0,1,0.143
Donte DiVincenzoMIL,9.5,0.823,0.333,0.3,0.122,0.068,0.177,8,0.176
Luka Don?i?DAL,19.2,0.393,0.134,0.071,0.089,0.098,0.607,11,0.031
Luguentz DortOKC,15.6,0.551,0.176,0.237,0.088,0.05,0.449,7,0.134
Damyean DotsonCLE,16.2,0.541,0.152,0.236,0.091,0.061,0.459,2,0.208
Devon DotsonCHI,14.2,0.572,0.222,0.239,0.082,0.029,0.428,0,0.143
Sekou DoumbouyaDET,18.6,0.351,0.155,0.137,0.027,0.033,0.649,19,0.304
PJ DozierDEN,17.9,0.373,0.212,0.11,0.017,0.034,0.627,12,0.315
Goran Dragi?MIA,19,0.339,0.124,0.151,0.032,0.032,0.661,0,0.172
Andre DrummondTOT,15.9,0.594,0.128,0.239,0.165,0.062,0.406,64,0
Andre DrummondCLE,16.4,0.461,0.197,0.204,0.029,0.032,0.539,38,0
Andre DrummondLAL,12.3,0.652,0.368,0.114,0.097,0.073,0.348,26,
Jared DudleyLAL,11.3,0.75,0.25,0.25,0.25,0,0.25,0,0
Kris DunnATL,12.2,0.609,0.478,0,0.13,0,0.391,0,0.5
Kevin DurantBRK,8.9,0.75,0.5,0.25,0,0,0.25,38,0.074
Anthony EdwardsMIN,14.8,0.654,0.115,0.231,0.192,0.115,0.346,70,0.14
Carsen EdwardsBOS,13.8,0.833,0,0.333,0.167,0.333,0.167,1,0.27
CJ EllebyPOR,23.4,0,0,0,0,0,1,3,0.176
Henry EllensonTOR,14.6,0.632,0.158,0.211,0.211,0.053,0.368,1,0.333
Wayne EllingtonDET,17.2,0.515,0.141,0.141,0.081,0.152,0.485,0,0.204
Joel EmbiidPHI,15.2,0.583,0.192,0.172,0.166,0.053,0.417,41,0.045
James Ennis IIIORL,15.3,0.588,0.206,0.147,0.235,0,0.412,9,0.24
Drew EubanksSAS,15.2,0.581,0.188,0.179,0.145,0.068,0.419,37,1
Dante ExumCLE,2.8,0.993,0.707,0.261,0.021,0.005,0.007,2,0.182
Tacko FallBOS,2.7,0.992,0.706,0.265,0.021,0,0.008,12,
Derrick FavorsUTA,3,0.995,0.708,0.256,0.021,0.01,0.005,26,1
Cristiano FelícioCHI,15.5,0.589,0.203,0.135,0.148,0.103,0.411,1,0
Terrance FergusonPHI,10.6,0.657,0.463,0.13,0.028,0.037,0.343,1,0.6
Bruno FernandoATL,9.1,0.892,0.275,0.412,0.108,0.098,0.108,6,0.5
Yogi FerrellTOT,15.1,0.731,0.109,0.143,0.319,0.161,0.269,0,0
Yogi FerrellCLE,,,,,,,,0,0
Yogi FerrellLAC,15.2,0.516,0.282,0.129,0.055,0.051,0.484,0,0
Dorian Finney-SmithDAL,17.6,0.467,0.233,0.067,0.1,0.067,0.533,26,0.44
Malik FittsLAC,15.4,0.491,0.266,0.116,0.071,0.037,0.509,0,0.5
Malachi FlynnTOR,24.3,0,0,0,0,0,1,0,0.095
Bryn ForbesMIL,13.4,0.591,0.312,0.169,0.075,0.036,0.409,1,0.229
Trent ForrestUTA,23.4,0.11,0.042,0.025,0.03,0.013,0.89,2,0.654
Evan FournierTOT,11.9,0.812,0.253,0.194,0.24,0.124,0.188,2,0.155
Evan FournierORL,10.6,0.667,0.542,0.083,0,0.042,0.333,2,0.128
Evan FournierBOS,8.3,0.714,0.714,0,0,0,0.286,0,0.211
De'Aaron FoxSAC,12.3,0.636,0.455,0.091,0,0.091,0.364,17,0.094
Robert FranksORL,10,0.667,0.5,0.167,0,0,0.333,0,0.2
Tim FrazierMEM,6.2,0.938,0.442,0.364,0.094,0.038,0.062,0,0.125
Enes FreedomPOR,5.7,0.95,0.453,0.384,0.069,0.044,0.05,16,0
Markelle FultzORL,6.6,0.929,0.434,0.349,0.113,0.033,0.071,1,0.125
Wenyen GabrielNOP,3.2,1,0.667,0.333,0,0,0,2,0.313
Daniel GaffordTOT,9.7,0.912,0.341,0.165,0.231,0.176,0.088,71,
Daniel GaffordCHI,4,0.964,0.618,0.291,0.036,0.018,0.036,29,
Daniel GaffordWAS,6.2,0.929,0.643,0.071,0.143,0.071,0.071,42,
Danilo GallinariATL,3.2,0.976,0.61,0.366,0,0,0.024,6,0.094
Langston GallowayPHO,17,0.371,0.233,0.098,0.025,0.016,0.629,0,0.494
Darius GarlandCLE,16.7,0.474,0.211,0.158,0.053,0.053,0.526,1,0.173
Marc GasolLAL,18.1,0.556,0.111,0.222,0.111,0.111,0.444,3,0.082
Rudy GaySAS,15.4,0.4,0.3,0.1,0,0,0.6,19,0.183
Paul GeorgeLAC,18.2,0.508,0.12,0.153,0.077,0.158,0.492,19,0.18
Taj GibsonNYK,19.5,0.453,0.043,0.137,0.109,0.163,0.547,23,0.467
Harry GilesPOR,18.9,0.49,0.054,0.132,0.155,0.149,0.51,9,0.174
Shai Gilgeous-AlexanderOKC,20.2,0.407,0.029,0.144,0.053,0.181,0.593,10,0.076
Anthony GillWAS,19.5,0.25,0.15,0.1,0,0,0.75,2,0.375
Freddie GillespieTOR,8.8,0.826,0.316,0.439,0.058,0.013,0.174,12,
Rudy GobertUTA,19.6,0.359,0.081,0.122,0.079,0.077,0.641,231,0.25
Brandon GoodwinATL,12.4,0.772,0.199,0.267,0.189,0.117,0.228,0,0.107
Aaron GordonTOT,12.4,0.563,0.25,0.313,0,0,0.438,52,0.188
Aaron GordonORL,17.4,0.622,0.067,0.178,0.133,0.244,0.378,19,0.107
Aaron GordonDEN,17.5,0.605,0.07,0.186,0.116,0.233,0.395,33,0.328
Eric GordonHOU,14.9,1,0,0,0.5,0.5,0,2,0.048
Devonte' GrahamCHO,4.4,0.948,0.557,0.33,0.041,0.021,0.052,1,0.103
Jerami GrantDET,11.1,0.903,0.229,0.309,0.211,0.154,0.097,37,0.198
Danny GreenPHI,8.5,0.745,0.473,0.245,0.018,0.009,0.255,2,0.456
Draymond GreenGSW,,,,,,,,27,0.127
JaMychal GreenDEN,11.2,0.615,0.385,0.231,0,0,0.385,27,0.273
Javonte GreenTOT,8.1,0.763,0.485,0.247,0.021,0.01,0.237,17,0.433
Javonte GreenBOS,2.9,0.998,0.657,0.304,0.022,0.012,0.002,12,0.409
Javonte GreenCHI,18.4,0.508,0.119,0.089,0.151,0.149,0.492,5,0.5
Jeff GreenBRK,19.4,0.385,0.115,0.038,0.115,0.115,0.615,39,0.42
Josh GreenDAL,19,0.385,0.154,0,0.154,0.077,0.615,9,0.76
Blake GriffinTOT,19.9,0.385,0.077,0.077,0.077,0.154,0.615,18,0.18
Blake GriffinDET,15.5,0.613,0.195,0.183,0.137,0.097,0.387,0,0.169
Blake GriffinBRK,9.3,0.81,0.476,0.143,0.095,0.095,0.19,18,0.198
Kyle GuySAC,12.6,0.545,0.5,0.023,0.023,0,0.455,0,0.37
Rui HachimuraWAS,12.7,0.667,0.293,0.218,0.068,0.088,0.333,58,0.307
Ashton HagansMIN,17.4,0.464,0.142,0.15,0.111,0.061,0.536,0,
Tyrese HaliburtonSAC,16.6,0.596,0.146,0.123,0.16,0.167,0.404,17,0.27
Donta HallORL,9.9,0.771,0.398,0.181,0.102,0.09,0.229,14,
Josh HallOKC,12.7,0.682,0.196,0.336,0.097,0.054,0.318,1,0.135
R.J. HamptonTOT,12.1,0.718,0.22,0.32,0.131,0.047,0.282,11,0.253
R.J. HamptonDEN,9.2,0.761,0.294,0.45,0.018,0,0.239,3,0.333
R.J. HamptonORL,6.5,0.955,0.273,0.545,0.136,0,0.045,8,0.232
Tim Hardaway Jr.DAL,2.7,0.992,0.738,0.244,0.008,0.002,0.008,28,0.185
James HardenTOT,13.9,0.643,0.266,0.201,0.117,0.058,0.357,4,0.045
James HardenHOU,16.6,0.667,0.333,0,0,0.333,0.333,1,0.056
James HardenBRK,11.5,0.688,0.381,0.169,0.084,0.054,0.312,3,0.042
Maurice HarklessTOT,16.2,0.466,0.238,0.2,0.021,0.007,0.534,18,0.429
Maurice HarklessMIA,21.2,0.309,0.082,0.07,0.055,0.102,0.691,0,0.545
Maurice HarklessSAC,15.2,0.637,0.202,0.149,0.106,0.18,0.363,18,0.411
Jared HarperNYK,20.9,0.316,0.079,0.105,0.079,0.053,0.684,0,0
Montrezl HarrellLAL,21.8,0.153,0.069,0.047,0.019,0.019,0.847,118,0.1
Gary HarrisTOT,9.8,0.79,0.315,0.377,0.058,0.039,0.21,10,0.333
Gary HarrisDEN,15.7,0.52,0.271,0.129,0.031,0.088,0.48,8,0.453
Gary HarrisORL,12.1,0.621,0.391,0.156,0.034,0.04,0.379,2,0.197
Jalen HarrisTOR,9.1,0.689,0.535,0.123,0.031,0,0.311,2,0.306
Joe HarrisBRK,11.3,0.682,0.342,0.233,0.078,0.03,0.318,2,0.209
Tobias HarrisPHI,11.1,0.695,0.328,0.227,0.098,0.043,0.305,35,0.202
Shaquille HarrisonTOT,13.5,0.537,0.339,0.15,0.035,0.013,0.463,2,0.563
Shaquille HarrisonUTA,22.1,0.196,0.089,0.017,0.021,0.068,0.804,0,0.5
Shaquille HarrisonDEN,18.7,0.385,0.108,0.169,0.031,0.077,0.615,2,0.571
Josh HartNOP,14.7,0.677,0.197,0.15,0.16,0.171,0.323,12,0.342
Isaiah HartensteinTOT,16.7,0.572,0.13,0.183,0.158,0.101,0.428,28,0
Isaiah HartensteinDEN,16.8,0.57,0.118,0.183,0.164,0.106,0.43,12,
Isaiah HartensteinCLE,16.6,0.576,0.152,0.183,0.149,0.093,0.424,16,0
Udonis HaslemMIA,,,,,,,,0,
Jaxson HayesNOP,13.7,0.6,0.217,0.304,0.044,0.035,0.4,71,0.357
Killian HayesDET,19.6,0.426,0.094,0.092,0.098,0.142,0.574,1,0.167
Gordon HaywardCHO,14.6,0.548,0.231,0.232,0.061,0.024,0.452,21,0.176
Juancho HernangómezMIN,14.2,0.565,0.239,0.242,0.061,0.023,0.435,12,0.226
Willy HernangómezNOP,15.6,0.507,0.21,0.206,0.063,0.028,0.493,27,0.3
Tyler HerroMIA,15,0.442,0.265,0.155,0.006,0.017,0.558,7,0.138
Buddy HieldSAC,16.8,0.538,0.192,0.115,0.077,0.154,0.462,8,0.136
George HillTOT,4.8,0.969,0.582,0.274,0.079,0.034,0.031,2,0.288
George HillOKC,5.5,0.961,0.517,0.319,0.089,0.037,0.039,0,0.263
George HillPHI,3.3,0.988,0.727,0.174,0.058,0.029,0.012,2,0.348
Solomon HillATL,17.2,0.454,0.145,0.152,0.051,0.107,0.546,6,0.392
Nate HintonDAL,19.6,0.29,0.113,0.105,0.048,0.024,0.71,1,0.158
Jaylen HoardOKC,11.7,0.731,0.25,0.282,0.156,0.043,0.269,6,0.545
Aaron HolidayIND,9.5,0.667,0.5,0.167,0,0,0.333,0,0.17
Jrue HolidayMIL,12.4,0.626,0.399,0.134,0.06,0.033,0.374,6,0.177
Justin HolidayIND,11.4,0.663,0.44,0.137,0.052,0.034,0.337,18,0.371
Rondae Hollis-JeffersonPOR,14.5,0.546,0.311,0.126,0.077,0.033,0.454,1,1
Richaun HolmesSAC,5.9,0.918,0.456,0.369,0.093,0,0.082,91,0.182
Rodney HoodTOT,9.4,0.871,0.419,0.161,0.194,0.097,0.129,2,0.363
Rodney HoodPOR,22.7,0.12,0.1,0.02,0,0,0.88,2,0.321
Rodney HoodTOR,6.6,0.857,0.54,0.259,0.04,0.018,0.143,0,0.483
Al HorfordOKC,14.3,0.636,0.163,0.253,0.135,0.085,0.364,9,0.118
Talen Horton-TuckerLAL,14.4,0.643,0.214,0.173,0.157,0.099,0.357,15,0.214
Danuel House Jr.HOU,12,0.8,0.2,0.2,0.4,0,0.2,16,0.353
Dwight HowardPHI,17.2,0.349,0.217,0.123,0.009,0,0.651,85,0.15
Markus HowardDEN,18.6,0.333,0.148,0.148,0.037,0,0.667,0,0.092
Kevin HuerterATL,13.8,0.5,0.333,0.167,0,0,0.5,9,0.199
Elijah HughesUTA,17,0.342,0.233,0.11,0,0,0.658,0,0.261
De'Andre HunterATL,4.2,0.963,0.563,0.352,0.043,0.006,0.037,10,0.326
Chandler HutchisonTOT,16,0.609,0.137,0.193,0.156,0.123,0.391,4,0.818
Chandler HutchisonCHI,19.7,0.348,0.132,0.083,0.069,0.064,0.652,2,0.333
Chandler HutchisonWAS,20.8,0.286,0.114,0.063,0.052,0.056,0.714,2,0.895
Serge IbakaLAC,17.7,0.454,0.163,0.116,0.099,0.077,0.546,25,0.043
Andre IguodalaMIA,16.7,0.391,0.217,0.13,0,0.043,0.609,17,0.478
Ersan ?lyasovaUTA,15.4,0.513,0.265,0.138,0.062,0.047,0.487,0,0.22
Joe InglesUTA,19.5,0.308,0.115,0.115,0.019,0.058,0.692,1,0.209
