PLAYER_clean,PLAYER,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
Luke Glendening,265. Luke Glendening,32,"C, RW, LW",Right,82,9,7,16,0.2,-17,116,0.08,14:06,14.95,116,193,167,0.77,6.01,10,8.66,389,611,38.9,757,1191,38.86,575,879,39.54,36.38,57.64,38.69,Standard (1-way),"$1,500,000","$1,500,000"
Conor Sheary,266. Conor Sheary,29,"RW, LW",Left,71,19,24,43,0.61,-2,129,0.15,15:17,15.19,129,214,182,0.84,7.13,11.83,10.06,601,519,53.66,1087,963,53.02,832,713,53.85,54.24,47.61,53.25,Standard (1-way),"$1,500,000","$1,250,000"
Matt Martin,267. Matt Martin,32,"LW, RW",Left,71,3,4,7,0.1,-2,66,0.05,11:26,7.65,66,106,86,0.56,4.88,7.83,6.35,317,354,47.24,598,695,46.25,431,495,46.54,26.74,28.55,48.36,Standard (1-way),"$1,500,000","$1,500,000"
Nick Cousins,268. Nick Cousins,27,"LW, C",Left,68,9,13,22,0.32,-8,103,0.09,12:28,10.61,103,171,143,0.75,7.29,12.1,10.11,463,402,53.53,840,699,54.58,639,546,53.92,40.14,32.51,55.25,Standard (1-way),"$1,500,000","$2,000,000"
Derek Grant,269. Derek Grant,31,"LW, C",Left,71,15,14,29,0.41,-16,117,0.13,14:18,14.25,117,193,155,0.84,6.91,11.39,9.15,432,664,39.42,787,1202,39.57,595,929,39.04,37.58,70.06,34.9,Standard (1-way),"$1,500,000","$1,500,000"
Samuel Blais,270. Samuel Blais,25,"LW, RW",Left,14,0,4,4,0.29,3,17,0,13:27,2.14,17,33,25,0.68,5.43,10.54,7.99,93,102,47.69,167,177,48.55,125,134,48.26,7.74,8.8,46.8,Standard (1-way),"$1,500,000","$1,600,000"
Josh Archibald,271. Josh Archibald,28,"RW, LW",Right,8,0,1,1,0.13,-2,4,0,9:02,0.37,4,9,6,0.31,3.32,7.47,4.98,16,44,26.67,36,76,32.14,24,60,28.57,1.59,4.73,25.16,Standard (1-way),"$1,500,000","$1,500,000"
Austin Watson,272. Austin Watson,29,"RW, LW",Right,67,10,6,16,0.24,-3,88,0.11,11:59,7.79,88,148,119,0.57,6.57,11.05,8.89,304,475,39.02,572,878,39.45,438,639,40.67,27.06,41.25,39.61,Standard (1-way),"$1,500,000","$1,500,000"
Garnet Hathaway,273. Garnet Hathaway,29,"RW, LW",Right,76,14,12,26,0.34,19,124,0.11,13:23,14.17,124,197,159,0.84,7.31,11.62,9.38,524,497,51.32,890,977,47.67,706,714,49.72,45.8,47.01,49.35,Standard (1-way),"$1,500,000","$1,500,000"
Michael Rasmussen,274. Michael Rasmussen,22,"C, LW",Left,80,15,12,27,0.34,-25,128,0.12,14:31,17.89,129,195,173,0.92,6.66,10.07,8.94,504,644,43.9,855,1178,42.06,657,869,43.05,47.95,67.33,41.59,Standard (1-way),"$1,460,000","$1,000,000"
Eeli Tolvanen,275. Eeli Tolvanen,22,"LW, RW",Left,75,11,12,23,0.31,-7,151,0.07,13:25,13.29,151,266,209,0.79,9,15.85,12.45,571,450,55.93,1053,833,55.83,796,625,56.02,51.78,35.56,59.29,Standard (1-way),"$1,450,000","$1,450,000"
Troy Terry,276. Troy Terry,23,"RW, C",Right,75,37,30,67,0.89,-11,192,0.19,18:14,26.16,192,327,264,1.14,8.42,14.35,11.58,741,647,53.39,1382,1159,54.39,1041,895,53.77,75.75,64.88,53.86,Standard (1-way),"$1,450,000","$1,450,000"
Johan Larsson,277. Johan Larsson,28,"C, LW",Left,43,7,14,21,0.49,-4,44,0.16,15:54,5.03,44,88,65,0.44,3.86,7.72,5.7,295,338,46.6,563,636,46.96,427,472,47.5,27.34,30.52,47.25,Standard (1-way),"$1,400,000","$1,800,000"
Tage Thompson,278. Tage Thompson,23,"C, RW",Right,78,38,30,68,0.87,-17,253,0.15,17:52,23.7,253,457,348,1.02,10.88,19.64,14.96,828,738,52.87,1453,1219,54.38,1121,998,52.9,80.52,76.79,51.19,Standard (1-way),"$1,400,000","$1,400,000"
William Carrier,279. William Carrier,26,LW,Left,63,9,11,20,0.32,7,120,0.08,11:37,14.72,120,194,162,1.21,9.83,15.9,13.27,442,328,57.4,800,651,55.13,607,465,56.62,39.95,32.74,54.96,Standard (1-way),"$1,400,000","$1,100,000"
Derek Stepan,280. Derek Stepan,31,"C, RW",Right,58,9,10,19,0.33,0,96,0.09,10:47,10.28,96,145,124,0.99,9.19,13.89,11.88,329,283,53.76,603,526,53.41,452,402,52.93,28.7,26.68,51.82,Standard (1-way),"$1,350,000","$1,350,000"
Nicholas Paul,281. Nicholas Paul,26,"C, LW",Left,80,16,16,32,0.4,-14,166,0.1,16:31,17.07,166,303,240,0.78,7.54,13.76,10.9,599,731,45.04,1119,1359,45.16,854,1010,45.82,55.37,71.28,43.72,Standard (1-way),"$1,350,000","$1,500,000"
Chris Wagner,282. Chris Wagner,30,"RW, C",Right,1,0,0,0,0,-1,2,0,15:57,0.17,2,3,3,0.64,7.52,11.29,11.29,6,10,37.5,11,17,39.29,10,12,45.45,0.77,1.31,37.02,Standard (1-way),"$1,350,000","$1,525,000"
Max Jones,283. Max Jones,23,"LW, RW",Left,2,0,0,0,0,-1,2,0,9:54,0.07,2,4,3,0.21,6.06,12.12,9.09,6,12,33.33,14,21,40,9,17,34.61,0.31,0.92,25.2,Standard (1-way),"$1,295,000","$1,100,000"
Ondrej Kase,284. Ondrej Kase,25,RW,Right,50,14,13,27,0.54,4,119,0.12,13:59,12.28,119,205,158,1.05,10.21,17.59,13.56,378,349,51.99,653,627,51.02,494,483,50.56,32.26,30.77,51.18,Standard (1-way),"$1,250,000","$1,250,000"
Derek Ryan,285. Derek Ryan,34,"C, RW",Right,75,10,12,22,0.29,-4,72,0.14,11:25,8.21,72,118,95,0.56,5.04,8.26,6.65,396,462,46.15,698,837,45.47,530,620,46.09,30.87,45.51,40.42,Standard (1-way),"$1,250,000","$1,250,000"
Pierre Engvall,286. Pierre Engvall,25,"RW, LW",Left,78,15,20,35,0.45,13,154,0.1,13:16,15.32,154,270,217,0.89,8.92,15.64,12.57,563,489,53.52,987,847,53.82,759,668,53.19,50.7,40.43,55.63,Standard (1-way),"$1,250,000","$1,250,000"
Tyler Motte,287. Tyler Motte,26,"LW, RW",Left,58,7,8,15,0.26,2,101,0.07,14:00,9.73,101,178,144,0.72,7.46,13.14,10.63,347,459,43.05,598,882,40.4,463,621,42.71,29.22,42.06,40.99,Standard (1-way),"$1,225,000","$1,450,000"
Nolan Patrick,288. Nolan Patrick,22,"C, RW",Right,25,2,5,7,0.28,1,34,0.06,11:30,4.29,34,51,43,0.89,7.09,10.64,8.97,163,115,58.63,305,215,58.65,232,161,59.03,16.52,11.68,58.58,Standard (1-way),"$1,200,000","$1,000,000"
Frédérick Gaudreau,289. Frédérick Gaudreau,28,"C, LW",Right,76,14,30,44,0.58,12,132,0.11,16:18,12.56,132,227,179,0.61,6.39,10.99,8.66,645,667,49.16,1161,1172,49.76,872,897,49.29,59.25,61.72,48.98,Standard (1-way),"$1,200,000","$1,000,000"
Kailer Yamamoto,290. Kailer Yamamoto,22,RW,Right,81,20,21,41,0.51,-1,114,0.18,16:52,18.41,114,188,155,0.81,5.01,8.25,6.81,709,752,48.53,1315,1340,49.53,981,1044,48.44,71.98,72.39,49.86,Standard (1-way),"$1,175,000","$1,175,000"
Jesse Puljujärvi,291. Jesse Puljujärvi,23,RW,Right,65,14,22,36,0.55,22,160,0.09,16:13,21.71,160,264,226,1.23,9.1,15.01,12.85,746,494,60.16,1305,808,61.76,995,638,60.93,77.7,41.91,64.95,Standard (1-way),"$1,175,000","$1,450,000"
Austin Wagner,292. Austin Wagner,24,"RW, LW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$1,133,333","$1,100,000"
Ross Colton,293. Ross Colton,24,"LW, C",Left,79,22,17,39,0.49,4,159,0.14,12:47,19,159,259,215,1.12,9.44,15.38,12.76,561,447,55.65,1006,817,55.18,783,624,55.65,54.44,39.11,58.19,Standard (1-way),"$1,125,000","$1,000,000"
Brandon Sutter,294. Brandon Sutter,32,"RW, C",Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$1,125,000","$1,125,000"
Danton Heinen,295. Danton Heinen,25,"LW, RW",Left,76,18,15,33,0.43,6,138,0.13,12:42,16.54,138,217,183,1.03,8.57,13.48,11.36,554,422,56.76,974,758,56.24,756,566,57.19,50.63,33.03,60.52,Standard (1-way),"$1,100,000","$1,100,000"
Michael Raffl,296. Michael Raffl,32,"LW, RW",Left,76,7,9,16,0.21,-19,94,0.07,14:32,10.02,94,151,127,0.54,5.11,8.19,6.9,409,535,43.33,812,1014,44.47,614,750,45.01,37.17,48.02,43.63,Standard (1-way),"$1,100,000","$1,100,000"
Ryan Dzingel,297. Ryan Dzingel,29,"LW, RW, C",Left,32,5,3,8,0.25,-5,32,0.16,13:42,3.72,32,58,45,0.51,4.38,7.93,6.15,169,258,39.58,325,432,42.93,245,340,41.88,13.97,19.64,41.57,Standard (1-way),"$1,100,000","$1,100,000"
Dylan Gambrell,298. Dylan Gambrell,24,C,Right,63,3,4,7,0.11,2,58,0.05,12:08,6.55,58,102,90,0.51,4.55,8,7.06,277,451,38.04,506,858,37.1,390,627,38.35,25.57,43.12,37.22,Standard (1-way),"$1,100,000","$1,100,000"
Nicolas Aubé-Kubel,299. Nicolas Aubé-Kubel,25,RW,Right,74,11,12,23,0.31,11,87,0.13,9:48,8.52,87,152,119,0.7,7.19,12.56,9.83,372,360,50.82,641,664,49.12,478,508,48.48,27.88,29.46,48.62,Standard (1-way),"$1,075,000","$1,225,000"
Joel Kiviranta,300. Joel Kiviranta,25,"RW, LW",Left,56,1,6,7,0.13,-6,59,0.02,9:31,5.42,59,98,78,0.61,6.64,11.03,8.77,252,238,51.43,458,460,49.89,347,343,50.29,21.26,19.87,51.69,Standard (1-way),"$1,050,000","$900,000"
Vinnie Hinostroza,301. Vinnie Hinostroza,27,"RW, LW",Right,62,13,12,25,0.4,-11,92,0.14,13:52,8.15,92,154,122,0.56,6.41,10.73,8.5,398,452,46.82,727,754,49.09,551,607,47.58,29.46,36.7,44.53,Standard (1-way),"$1,050,000","$1,050,000"
Trent Frederic,302. Trent Frederic,23,"LW, RW",Left,60,8,10,18,0.3,10,100,0.08,11:39,9.48,100,157,126,0.81,8.58,13.47,10.81,355,340,51.08,572,612,48.31,466,465,50.05,27.94,26.11,51.69,Standard (1-way),"$1,050,000","$950,000"
Kevin Stenlund,303. Kevin Stenlund,24,"RW, C",Right,3,0,0,0,0,0,3,0,7:31,0.19,3,4,3,0.5,7.97,10.63,7.97,12,13,48,19,24,44.19,13,19,40.61,0.56,0.78,42.22,Standard (1-way),"$1,050,000","$1,050,000"
Darren Helm,304. Darren Helm,34,"C, LW, RW",Left,68,7,8,15,0.22,-5,93,0.08,10:33,9.02,93,146,115,0.75,7.78,12.21,9.61,331,450,42.38,584,795,42.35,421,611,40.79,24.82,39.46,38.61,Standard (1-way),"$1,000,000","$1,000,000"
Andrew Cogliano,305. Andrew Cogliano,34,LW,Left,74,4,12,16,0.22,-18,75,0.05,12:40,7.23,75,128,104,0.46,4.8,8.19,6.66,362,514,41.32,651,987,39.74,515,728,41.43,29.08,48.82,37.33,Standard (1-way),"$1,000,000","$1,000,000"
Evan Rodrigues,306. Evan Rodrigues,27,"RW, C",Right,82,19,24,43,0.52,3,243,0.08,15:50,24.1,244,393,310,1.11,11.27,18.16,14.32,839,564,59.8,1473,993,59.73,1125,738,60.39,80.5,54.45,59.65,Standard (1-way),"$1,000,000","$1,000,000"
Alexander Barabanov,307. Alexander Barabanov,27,"RW, LW",Left,70,10,29,39,0.56,-5,103,0.1,17:10,11.62,103,166,136,0.57,5.14,8.27,6.79,624,606,50.73,1171,1164,50.15,864,856,50.23,56,60.89,47.91,Standard (1-way),"$1,000,000","$1,000,000"
Henrik Borgström,308. Henrik Borgström,23,C,Left,52,4,3,7,0.13,-14,41,0.1,10:31,5.07,41,85,57,0.56,4.5,9.32,6.25,241,235,50.63,464,468,49.79,315,325,49.22,20.39,18.43,52.52,Standard (1-way),"$1,000,000","$900,000"
Christian Fischer,309. Christian Fischer,24,"RW, LW",Right,53,5,5,10,0.19,-15,76,0.07,13:06,7.73,76,123,95,0.67,6.56,10.62,8.19,278,388,41.74,549,711,43.57,402,534,42.95,27.01,37.77,41.69,Standard (1-way),"$1,000,000","$1,125,875"
Kyle Clifford,310. Kyle Clifford,30,LW,Left,25,1,3,4,0.16,-5,29,0.03,8:48,2.08,29,44,36,0.56,7.91,12,9.82,102,119,46.15,195,203,48.99,144,159,47.52,7,9.36,42.79,Standard (1-way),"$1,000,000","$1,300,000"
Carter Verhaeghe,311. Carter Verhaeghe,25,LW,Left,78,24,31,55,0.71,24,167,0.14,16:03,20.75,167,312,232,0.99,8,14.95,11.12,808,589,57.84,1466,997,59.52,1098,770,58.78,82.63,57.45,58.99,Standard (1-way),"$1,000,000","$1,100,000"
Nicolas Deslauriers,312. Nicolas Deslauriers,30,"LW, RW",Left,81,8,5,13,0.16,-11,90,0.09,11:21,9.68,90,158,123,0.63,5.87,10.3,8.02,352,528,40,656,985,39.97,490,731,40.13,29.83,45.79,39.45,Standard (1-way),"$1,000,000","$1,000,000"
Ryan Carpenter,313. Ryan Carpenter,30,"RW, C",Right,67,3,9,12,0.18,-11,67,0.04,12:34,7.47,67,117,93,0.53,4.76,8.33,6.62,318,475,40.1,627,864,42.05,455,632,41.86,27.67,44.59,38.29,Standard (1-way),"$1,000,000","$1,000,000"
Ross Johnston,314. Ross Johnston,27,LW,Left,32,2,5,7,0.22,-3,9,0.22,10:16,1.29,9,18,12,0.24,1.64,3.29,2.19,122,155,44.04,208,297,41.19,161,218,42.48,8.61,14.11,37.92,Standard (1-way),"$1,000,000","$1,000,000"
Adam Gaudette,315. Adam Gaudette,24,"C, RW",Right,58,5,9,14,0.24,-9,94,0.05,11:18,8.41,94,162,126,0.77,8.59,14.8,11.51,324,347,48.29,582,575,50.3,447,451,49.78,27.86,30.54,47.71,Standard (1-way),"$997,500","$997,500"
Jujhar Khaira,316. Jujhar Khaira,26,"LW, C",Left,27,3,0,3,0.11,-4,32,0.09,13:36,2.94,32,51,39,0.48,5.23,8.33,6.37,140,222,38.67,263,413,38.9,186,305,37.88,9.66,18.82,33.92,Standard (1-way),"$975,000","$950,000"
Maxim Mamin,317. Maxim Mamin,26,"LW, RW",Left,40,7,7,14,0.35,8,49,0.14,11:54,7.54,49,81,66,0.95,6.17,10.21,8.32,283,225,55.71,508,435,53.87,378,324,53.85,28.36,20.52,58.02,Standard (1-way),"$975,000","$975,000"
Michael Mcleod,318. Michael Mcleod,23,C,Right,77,6,14,20,0.26,-13,78,0.08,13:19,6.94,78,126,106,0.41,4.55,7.37,6.2,397,543,42.23,743,1023,42.07,574,782,42.33,36.54,53.25,40.69,Standard (1-way),"$975,000","$950,000"
Eric Robinson,319. Eric Robinson,26,LW,Left,67,10,17,27,0.4,-1,104,0.1,13:53,11.31,104,187,136,0.73,6.7,12.05,8.77,405,572,41.45,752,981,43.39,558,762,42.27,37.47,54.62,40.69,Standard (1-way),"$975,000","$975,000"
Mathieu Perreault,320. Mathieu Perreault,33,"LW, RW, C",Left,25,4,5,9,0.36,2,27,0.15,11:15,3.99,27,46,35,0.85,5.76,9.81,7.46,141,132,51.65,256,264,49.23,190,197,49.1,13.8,11.67,54.18,Standard (1-way),"$950,000","$950,000"
Michael Bunting,321. Michael Bunting,25,LW,Left,79,23,40,63,0.8,27,175,0.13,15:32,23.8,175,296,242,1.15,8.55,14.46,11.83,780,567,57.91,1449,982,59.61,1088,761,58.84,78.72,48.25,62,Standard (1-way),"$950,000","$750,000"
Cédric Paquette,322. Cédric Paquette,27,"C, LW, RW",Left,24,0,2,2,0.08,-6,16,0,8:51,1.29,16,26,21,0.36,4.51,7.34,5.93,89,130,40.64,138,238,36.7,105,176,37.36,5.9,13.11,31.04,Standard (1-way),"$950,000","$950,000"
Alexander Volkov,323. Alexander Volkov,23,"LW, RW",Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$925,000","$925,000"
Rem Pitlick,324. Rem Pitlick,24,"LW, C, RW",Left,66,15,22,37,0.56,-8,65,0.23,14:59,10.16,65,97,85,0.62,3.94,5.89,5.16,487,589,45.26,841,1008,45.48,636,795,44.44,47.21,62.14,43.17,Standard (2-way),"$917,831","$917,831"
Tyler Ennis,325. Tyler Ennis,31,"LW, RW",Left,57,8,16,24,0.42,-6,89,0.09,12:32,8.19,89,157,124,0.69,7.47,13.18,10.41,386,330,53.91,714,617,53.64,540,468,53.57,34.27,28.85,54.29,Standard (1-way),"$900,000","$900,000"
Brett Ritchie,326. Brett Ritchie,28,RW,Right,41,3,1,4,0.1,-6,55,0.05,9:43,4.54,55,91,75,0.68,8.27,13.7,11.29,233,191,54.95,430,333,56.36,332,247,57.34,18.72,13.47,58.15,Standard (1-way),"$900,000","$900,000"
Nick Bjugstad,327. Nick Bjugstad,28,"C, RW",Right,57,7,6,13,0.23,-2,81,0.09,10:15,8.57,82,130,107,0.88,8.41,13.34,10.98,283,277,50.54,499,530,48.49,387,413,48.38,25.11,22.47,52.77,Standard (1-way),"$900,000","$900,000"
Wayne Simmonds,328. Wayne Simmonds,32,"RW, LW",Right,72,5,11,16,0.22,-7,79,0.06,9:19,9.28,79,133,104,0.83,7.06,11.88,9.28,324,350,48.07,591,598,49.71,433,472,47.85,27.01,27.67,49.4,Standard (1-way),"$900,000","$750,000"
Gregory Hofmann,329. Gregory Hofmann,28,"LW, RW",Left,24,2,5,7,0.29,6,33,0.06,12:30,2.9,33,51,36,0.57,6.6,10.19,7.2,142,159,47.18,264,288,47.83,199,214,48.18,11.35,11.05,50.67,Standard (1-way),"$900,000","$900,000"
Mason Appleton,330. Mason Appleton,25,RW,Right,68,8,13,21,0.31,-1,98,0.08,14:53,10.59,98,171,136,0.63,5.81,10.14,8.06,462,529,46.62,848,951,47.14,631,727,46.47,43.48,51.34,45.86,Standard (1-way),"$900,000","$900,000"
Patrick Maroon,331. Patrick Maroon,33,"LW, RW",Left,81,11,16,27,0.33,20,102,0.11,12:23,12.52,102,156,137,0.75,6.1,9.32,8.19,506,426,54.29,889,754,54.11,694,594,53.88,49.87,35.97,58.09,Standard (1-way),"$900,000","$1,000,000"
Mackenzie MacEachern,332. Mackenzie MacEachern,27,"LW, RW",Left,14,0,2,2,0.14,-1,14,0,7:58,1.5,14,19,16,0.81,7.53,10.22,8.6,56,45,55.45,95,103,47.98,73,74,49.66,5,5.09,49.55,Standard (1-way),"$900,000","$900,000"
Brett Howden,333. Brett Howden,23,"C, LW",Left,47,9,11,20,0.43,9,39,0.23,10:39,6.24,39,69,60,0.75,4.67,8.27,7.19,234,241,49.26,429,484,46.99,329,339,49.25,23.93,22.28,51.79,Standard (1-way),"$885,000","$885,000"
Alexander Nylander,334. Alexander Nylander,23,"RW, LW",Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$874,125","$874,125"
Isac Lundeström,335. Isac Lundeström,21,"C, LW",Left,80,16,13,29,0.36,-3,83,0.19,15:29,11.16,84,145,117,0.54,4.07,7.02,5.67,491,717,40.65,874,1305,40.11,672,999,40.22,43.25,69.58,38.33,Standard (2-way),"$874,125","$874,125"
Sam Steel,336. Sam Steel,23,"C, LW",Left,68,6,14,20,0.29,-17,66,0.09,12:18,7.59,67,125,89,0.54,4.8,8.96,6.38,396,445,47.09,721,816,46.91,536,616,46.53,30.56,37.83,44.68,Standard (2-way),"$874,125","$874,125"
Kole Lind,337. Kole Lind,22,RW,Right,23,2,6,8,0.35,-1,31,0.06,11:49,2.72,31,47,39,0.6,6.84,10.36,8.6,123,128,49,231,218,51.45,173,168,50.73,10.59,11.76,47.38,Standard (2-way),"$874,125","$874,125"
Chase Pearson,338. Chase Pearson,23,C,Left,3,0,0,0,0,0,2,0,6:45,0.82,2,5,4,2.43,5.92,14.8,11.84,9,8,52.94,17,13,56.67,14,12,53.85,1.21,0.88,57.89,Standard (2-way),"$874,125","$874,125"
Lias Andersson,339. Lias Andersson,22,"C, LW",Left,20,1,1,2,0.1,-7,29,0.03,10:36,2.99,29,38,33,0.85,8.19,10.74,9.33,118,114,50.86,205,214,48.93,156,165,48.6,10.52,11.14,48.57,Standard (2-way),"$874,125","$874,125"
Riley Sheahan,340. Riley Sheahan,29,"LW, C",Left,69,4,13,17,0.25,6,69,0.06,12:02,6.09,69,109,89,0.44,4.98,7.87,6.43,335,443,43.06,627,828,43.09,462,612,43.02,28.91,45.6,38.79,Standard (1-way),"$850,000","$850,000"
Sam Gagner,341. Sam Gagner,31,"RW, C",Right,81,13,18,31,0.38,-4,132,0.1,13:37,12.95,132,185,158,0.7,7.18,10.06,8.59,482,659,42.24,829,1176,41.35,646,902,41.73,45.98,72,38.97,Standard (1-way),"$850,000","$850,000"
Taro Hirose,342. Taro Hirose,25,LW,Left,15,1,3,4,0.27,-5,10,0.1,10:39,1.14,10,19,14,0.43,3.75,7.13,5.25,74,76,49.33,128,126,50.39,92,98,48.42,5.39,6.99,43.54,Standard (2-way),"$850,000","$850,000"
Matt Nieto,343. Matt Nieto,28,"LW, RW",Left,70,6,11,17,0.24,-20,82,0.07,14:24,7.38,82,120,106,0.44,4.88,7.14,6.31,391,508,43.49,686,1067,39.13,534,764,41.14,29.47,49.96,37.1,Standard (1-way),"$850,000","$850,000"
Devin Shore,344. Devin Shore,26,"C, LW, RW",Left,49,5,6,11,0.22,-4,36,0.14,9:33,4.01,36,65,52,0.51,4.61,8.32,6.66,209,262,44.37,368,457,44.61,287,358,44.5,16.88,24.93,40.36,Standard (1-way),"$850,000","$750,000"
Will Bitten,345. Will Bitten,22,"RW, C",Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$840,000","$840,000"
Carter Rowney,346. Carter Rowney,32,"C, RW",Right,26,4,2,6,0.23,-4,15,0.27,10:40,2.38,15,27,21,0.51,3.24,5.84,4.54,102,137,42.68,192,272,41.38,143,185,43.6,8.14,9.98,44.92,Standard (1-way),"$825,000","$825,000"
Derick Brassard,347. Derick Brassard,33,"C, LW",Left,46,8,11,19,0.41,4,62,0.13,12:54,6.49,62,91,70,0.66,6.26,9.19,7.07,307,294,51.08,571,523,52.19,420,403,51.03,28.71,25.28,53.18,Standard (1-way),"$825,000","$825,000"
Rasmus Asplund,348. Rasmus Asplund,23,"LW, C",Left,80,8,19,27,0.34,-5,130,0.06,14:16,12.69,130,192,174,0.66,6.8,10.03,9.1,598,536,52.73,1025,917,52.78,799,718,52.67,46.83,46.47,50.19,Standard (1-way),"$825,000","$775,000"
Nathan Bastian,349. Nathan Bastian,23,"RW, C",Right,72,12,6,18,0.25,-12,97,0.12,11:54,14.61,97,165,145,1.02,6.79,11.55,10.15,425,356,54.42,828,679,54.94,626,494,55.89,42.87,36.24,54.19,Standard (1-way),"$825,000","$775,000"
Zack MacEwen,350. Zack MacEwen,24,"RW, C",Right,75,3,6,9,0.12,-15,82,0.04,9:39,8.3,82,145,121,0.69,6.79,12,10.02,318,394,44.66,548,733,42.78,426,544,43.92,25.32,37.25,40.47,Standard (1-way),"$825,000","$950,000"
Jimmy Vesey,351. Jimmy Vesey,28,"RW, LW",Left,68,8,7,15,0.22,-24,110,0.07,14:25,12.28,110,185,155,0.75,6.73,11.32,9.48,423,514,45.14,818,939,46.56,612,732,45.54,36.75,49.36,42.68,Standard (1-way),"$800,000","$800,000"
Frédérik Gauthier,352. Frédérik Gauthier,26,C,Left,8,0,0,0,0,-1,4,0,11:05,0.14,4,5,4,0.09,2.7,3.38,2.7,27,52,34.18,57,96,37.25,41,65,38.68,2.14,4.3,33.22,Standard (2-way),"$800,000","$800,000"
Tanner Jeannot,353. Tanner Jeannot,24,"RW, LW",Left,81,24,17,41,0.51,2,124,0.19,15:59,16.3,124,215,180,0.76,5.75,9.96,8.34,544,749,42.07,990,1381,41.75,776,1031,42.94,50,76.34,39.58,Standard (1-way),"$800,000","$750,000"
Dylan Sikura,354. Dylan Sikura,26,"LW, RW, C",Left,5,0,1,1,0.2,0,3,0,9:57,0.51,3,4,4,0.61,3.62,4.82,4.82,20,16,55.56,43,32,57.33,27,22,55.1,1.68,1.7,49.7,Standard (2-way),"$800,000","$800,000"
Gerald Mayhew,355. Gerald Mayhew,28,"C, RW",Right,40,11,1,12,0.3,-6,53,0.21,13:10,6.38,53,103,80,0.73,6.03,11.73,9.11,251,238,51.33,476,476,50,363,354,50.63,21.8,20.28,51.81,Standard (2-way),"$800,000","$800,000"
Trevor Lewis,356. Trevor Lewis,34,"RW, C",Right,80,6,10,16,0.2,-1,108,0.06,12:49,9.81,108,180,153,0.56,6.31,10.52,8.94,459,544,45.76,823,976,45.75,640,745,46.21,34.21,47.62,41.81,Standard (1-way),"$800,000","$800,000"
Andrew Agozzino,357. Andrew Agozzino,30,"C, LW",Left,1,0,0,0,0,0,1,0,6:52,0.02,1,1,1,0.17,8.73,8.73,8.73,3,2,60,8,4,66.67,5,2,71.43,0.09,0.08,52.94,Standard (2-way),"$800,000","$800,000"
Blake Lizotte,358. Blake Lizotte,23,C,Left,70,10,14,24,0.34,15,91,0.11,12:09,9.18,91,141,122,0.65,6.41,9.94,8.6,447,356,55.67,819,705,53.74,606,531,53.3,36.1,37.38,49.13,Standard (1-way),"$800,000","$800,000"
Clark Bishop,359. Clark Bishop,25,"C, LW",Left,9,0,1,1,0.11,-3,8,0,8:20,0.83,8,22,16,0.66,6.39,17.57,12.79,29,41,41.43,60,76,44.12,47,57,45.19,2.42,3.62,40.07,Standard (2-way),"$800,000","$800,000"
Mason Marchment,360. Mason Marchment,26,"LW, RW",Left,54,18,29,47,0.87,29,121,0.15,14:07,17.13,121,207,164,1.35,9.52,16.29,12.91,491,304,61.76,859,534,61.67,640,387,62.32,52.02,26.88,65.93,Standard (1-way),"$800,000","$800,000"
Riley Barber,361. Riley Barber,27,RW,Right,4,0,0,0,0,-2,4,0,8:26,0.36,4,8,7,0.64,7.11,14.21,12.44,15,21,41.67,28,33,45.9,20,25,44.44,1.4,1.66,45.75,Standard (2-way),"$800,000","$800,000"
Curtis Lazar,362. Curtis Lazar,26,"RW, C",Right,70,8,8,16,0.23,-2,95,0.08,11:59,9.68,95,147,124,0.69,6.79,10.51,8.86,378,408,48.09,630,793,44.27,501,585,46.13,29.18,35.61,45.04,Standard (1-way),"$800,000","$800,000"
Jeff Malott,363. Jeff Malott,24,LW,Left,1,0,0,0,0,0,0,0,4:06,0,0,0,0,0,0,0,0,2,2,50,2,4,33.33,2,2,50,0.02,0.47,4.08,Standard (2-way),"$780,000","$780,000"
Julien Gauthier,364. Julien Gauthier,23,RW,Right,49,3,4,7,0.14,-9,69,0.04,10:18,9.93,69,110,96,1.18,8.19,13.07,11.4,267,247,51.95,436,475,47.86,343,346,49.78,23.86,21.93,52.11,Standard (2-way),"$775,000","$775,000"
Dryden Hunt,365. Dryden Hunt,25,"LW, RW",Left,76,6,11,17,0.22,-10,94,0.06,12:17,11,94,177,142,0.71,6.04,11.37,9.11,431,448,49.03,794,838,48.65,601,624,49.06,37.83,35.24,51.77,Standard (2-way),"$762,500","$750,000"
