PLAYER_clean,PLAYER,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
Miles Wood,209. Miles Wood,25,LW,Left,3,0,0,0,0,-2,2,0,14:45,0.21,2,8,6,0.28,2.71,10.84,8.13,12,32,27.27,22,55,28.57,17,46,26.98,0.88,3.72,19.13,Standard (1-way),"$2,750,000","$3,500,000"
Andreas Athanasiou,210. Andreas Athanasiou,26,"LW, RW",Left,28,11,6,17,0.61,7,71,0.15,15:14,10.34,71,123,104,1.45,9.99,17.3,14.63,245,196,55.56,435,376,53.64,349,280,55.48,27.33,18.89,59.13,Standard (1-way),"$2,700,000","$2,700,000"
Jason Dickinson,211. Jason Dickinson,25,"C, LW",Left,62,5,6,11,0.18,-1,66,0.08,13:02,7.54,66,125,98,0.56,4.9,9.27,7.27,327,461,41.5,639,853,42.83,465,624,42.7,29.14,45.51,39.04,Standard (1-way),"$2,650,000","$2,000,000"
Denis Gurianov,212. Denis Gurianov,24,"RW, LW",Left,73,11,20,31,0.42,2,144,0.08,14:11,13.57,144,281,199,0.79,8.34,16.28,11.53,547,550,49.86,1055,961,52.33,774,741,51.09,54.29,43.25,55.66,Standard (1-way),"$2,550,000","$2,900,000"
Frank Vatrano,213. Frank Vatrano,27,"RW, LW",Left,71,18,14,32,0.45,4,161,0.11,13:09,14.6,161,266,209,0.94,10.34,17.07,13.42,557,422,56.89,972,777,55.57,733,584,55.66,45.64,36.99,55.23,Standard (1-way),"$2,533,333","$2,600,000"
Casey Mittelstadt,214. Casey Mittelstadt,22,"LW, C",Left,40,6,13,19,0.48,-14,79,0.08,16:07,7.05,79,120,99,0.66,7.35,11.17,9.21,342,326,51.2,580,516,52.92,462,422,52.26,30.9,34.35,47.36,Standard (1-way),"$2,500,000","$2,400,000"
Casey Cizikas,215. Casey Cizikas,30,C,Left,74,10,6,16,0.22,-3,91,0.11,13:44,10.19,91,147,128,0.6,5.37,8.67,7.55,339,535,38.79,619,1027,37.61,460,747,38.11,32.97,47.52,40.96,Standard (1-way),"$2,500,000","$2,500,000"
Nick Ritchie,216. Nick Ritchie,25,LW,Left,57,12,11,23,0.4,-13,93,0.13,12:42,12.26,93,159,134,1.02,7.71,13.18,11.11,367,364,50.21,733,635,53.58,530,519,50.52,35.77,32.45,52.43,Standard (1-way),"$2,500,000","$1,700,000"
Sean Kuraly,217. Sean Kuraly,28,"C, LW",Left,77,14,16,30,0.39,2,121,0.12,15:51,13.08,121,190,161,0.64,5.94,9.33,7.91,538,757,41.54,979,1343,42.16,726,1030,41.34,48,75.9,38.74,Standard (1-way),"$2,500,000","$1,500,000"
Valeri Nichushkin,218. Valeri Nichushkin,26,"RW, LW",Left,62,25,27,52,0.84,21,180,0.14,19:01,22.51,180,264,227,1.14,9.16,13.43,11.55,776,600,56.4,1388,989,58.39,1035,779,57.06,73.29,55,57.13,Standard (1-way),"$2,500,000","$2,800,000"
Andrew Mangiapane,219. Andrew Mangiapane,25,"RW, LW",Left,82,35,20,55,0.67,20,185,0.19,15:43,24.57,185,300,235,1.13,8.61,13.96,10.93,820,564,59.25,1475,1020,59.12,1128,777,59.21,77.48,53.14,59.32,Standard (1-way),"$2,425,000","$2,450,000"
Erik Haula,220. Erik Haula,30,"LW, C",Left,78,18,26,44,0.56,19,141,0.13,15:05,14.32,141,217,184,0.73,7.19,11.06,9.38,669,549,54.93,1111,1012,52.33,876,783,52.8,54.43,46.31,54.03,Standard (1-way),"$2,375,000","$2,250,000"
Dillon Dubé,221. Dillon Dubé,22,"LW, RW",Left,79,18,14,32,0.41,1,143,0.13,12:50,15,143,228,188,0.89,8.46,13.49,11.12,577,498,53.67,1040,866,54.56,815,688,54.22,51.15,45.46,52.94,Standard (1-way),"$2,300,000","$2,200,000"
Artturi Lehkonen,222. Artturi Lehkonen,25,"LW, RW",Left,74,19,19,38,0.51,1,155,0.12,15:05,20.16,155,269,213,1.08,8.32,14.45,11.44,583,636,47.83,1032,1090,48.63,767,847,47.52,54.15,58.56,48.04,Standard (1-way),"$2,300,000","$2,300,000"
