PLAYER,PLAYER_clean,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
179. Mark Pysyk,Mark Pysyk,30,RD,Right,68,3,9,12,0.18,-4,64,0.05,17:49:00,3.47,64,126,99,0.17,3.17,6.24,4.91,504,734,40.71,892,1240,41.84,696,980,41.53,39.36,61.58,38.99,Standard (1-way),"$850,000","$850,000"
180. Ben Hutton,Ben Hutton,29,LD,Left,58,3,10,13,0.22,7,78,0.04,15:27:00,3.15,78,166,103,0.21,5.22,11.1,6.89,455,442,50.72,828,849,49.37,630,609,50.85,38.92,39.57,49.59,Standard (1-way),"$850,000","$800,000"
181. Jack Rathbone,Jack Rathbone,23,LD,Left,9,0,0,0,0,-5,10,0,13:49:00,0.46,10,22,16,0.22,4.82,10.6,7.71,65,74,46.76,114,129,46.91,87,98,47.03,4.71,5.6,45.68,Standard (1-way),"$850,000","$750,000"
182. Gustav Lindström,Gustav Lindström,23,RD,Right,63,1,12,13,0.21,-12,41,0.02,16:07:00,1.23,41,79,51,0.07,2.42,4.67,3.01,447,547,44.97,760,1015,42.82,581,750,43.65,37.03,49.48,42.8,Standard (1-way),"$850,000","$950,000"
183. Nikolai Knyzhov,Nikolai Knyzhov,24,LD/RD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$850,000","$850,000"
184. Conor Timmins,Conor Timmins,23,RD,Right,6,0,0,0,0,-6,5,0,17:44:00,0.33,5,17,10,0.19,2.82,9.58,5.63,49,64,43.36,96,98,49.48,76,80,48.72,4.05,5.24,43.66,Standard (1-way),"$850,000","$950,000"
185. Zach Bogosian,Zach Bogosian,31,RD,Right,48,3,5,8,0.17,2,60,0.05,15:21:00,2.44,60,108,76,0.2,4.88,8.78,6.18,320,402,44.32,589,694,45.91,462,543,45.97,29.81,33.35,47.2,Standard (1-way),"$850,000","$750,000"
186. Urho Vaakanainen,Urho Vaakanainen,23,LD/RD,Left,29,0,6,6,0.21,-5,27,0,19:19:00,0.94,27,55,38,0.1,2.89,5.89,4.07,251,316,44.27,417,577,41.95,329,450,42.23,21.29,31.48,40.34,Standard (1-way),"$850,000","$800,000"
187. Pierre-Olivier Joseph,Pierre-Olivier Joseph,23,LD,Left,4,0,0,0,0,-2,7,0,18:13:00,0.28,7,13,9,0.23,5.76,10.7,7.41,45,36,55.56,74,62,54.41,55,42,56.7,3.64,2.56,58.71,Standard (1-way),"$825,000","$800,000"
188. Nick Blankenburg,Nick Blankenburg,24,RD,Right,7,1,2,3,0.43,-3,13,0.08,17:34:00,0.36,13,24,15,0.18,6.34,11.71,7.32,61,59,50.83,118,105,52.91,86,78,52.44,5.18,5.57,48.19,Standard (1-way),"$825,000","$800,000"
189. Sebastian Aho,Sebastian Aho,26,LD,Left,36,2,10,12,0.33,-6,34,0.06,16:27:00,1.84,34,76,51,0.19,3.44,7.7,5.17,255,316,44.66,478,563,45.92,353,429,45.14,21.71,28.11,43.58,Standard (1-way),"$825,000","$800,000"
190. Chad Ruhwedel,Chad Ruhwedel,32,RD,Right,78,4,9,13,0.17,2,82,0.05,15:19:00,2.93,82,181,129,0.15,4.11,9.08,6.47,603,614,49.55,1041,1078,49.13,823,804,50.58,51.72,49.94,50.88,Standard (1-way),"$800,000","$800,000"
191. Lucas Carlsson,Lucas Carlsson,24,LD,Left,40,3,6,9,0.23,3,41,0.07,12:42:00,1.96,41,85,58,0.23,4.84,10.02,6.84,309,263,54.02,541,432,55.6,403,335,54.61,27.32,22.73,54.59,Standard (2-way),"$800,000","$800,000"
